# METIS IMG-NQ detector QE (Aquarius)
# received from Roy as METIS_IMG_NQ_QE.csv on 25 May 2018 (unpublished lab measurement of the MIRI team)
#
# wavelength               QE 
#   [micron]  [dimensionless] 
   1.0033284        0.4443523
   1.0100157        0.4433798
   1.0167475        0.4424007
   1.0235242        0.4414151
   1.0303461        0.4404230
   1.0372134        0.4394242
   1.0441265        0.4384188
   1.0510857        0.4374066
   1.0580913        0.4363878
   1.0651435        0.4353621
   1.0722428        0.4343296
   1.0793894        0.4332902
   1.0865836        0.4322439
   1.0938258        0.4311907
   1.1011162        0.4301304
   1.1084552        0.4290630
   1.1158432        0.4279885
   1.1232803        0.4269069
   1.1307671        0.4258180
   1.1383037        0.4247219
   1.1458906        0.4236185
   1.1535281        0.4225077
   1.1612164        0.4213895
   1.1689560        0.4202639
   1.1767472        0.4191308
   1.1845903        0.4179901
   1.1924857        0.4168418
   1.2004337        0.4156859
   1.2084347        0.4145222
   1.2164890        0.4133509
   1.2245970        0.4121716
   1.2327590        0.4109846
   1.2409754        0.4097896
   1.2492466        0.4085867
   1.2575730        0.4073757
   1.2659548        0.4061567
   1.2743925        0.4049295
   1.2828864        0.4036942
   1.2914369        0.4024506
   1.3000444        0.4011988
   1.3087093        0.3999386
   1.3174320        0.3986700
   1.3262128        0.3973929
   1.3350521        0.3961074
   1.3439503        0.3948132
   1.3529078        0.3935105
   1.3619251        0.3921990
   1.3710024        0.3908788
   1.3801402        0.3895499
   1.3893390        0.3882120
   1.3985990        0.3868653
   1.4079208        0.3855095
   1.4173047        0.3841448
   1.4267511        0.3827709
   1.4362605        0.3813879
   1.4458333        0.3799956
   1.4554699        0.3785941
   1.4651707        0.3771833
   1.4749362        0.3757630
   1.4847668        0.3743333
   1.4946628        0.3728940
   1.5046249        0.3714452
   1.5146533        0.3699867
   1.5247486        0.3685184
   1.5349112        0.3670404
   1.5451415        0.3655525
   1.5554400        0.3640548
   1.5658071        0.3625470
   1.5762433        0.3610292
   1.5867491        0.3595012
   1.5973249        0.3579631
   1.6079712        0.3564148
   1.6186884        0.3548561
   1.6294771        0.3532870
   1.6403377        0.3517075
   1.6512707        0.3501174
   1.6622765        0.3485167
   1.6733557        0.3469054
   1.6845088        0.3452833
   1.6957361        0.3436505
   1.7070383        0.3420067
   1.7184159        0.3403520
   1.7298693        0.3386862
   1.7413990        0.3370094
   1.7530055        0.3353214
   1.7646894        0.3336221
   1.7764512        0.3319115
   1.7882914        0.3301895
   1.8002105        0.3284560
   1.8122091        0.3267110
   1.8242876        0.3249543
   1.8364466        0.3231859
   1.8486866        0.3214058
   1.8610083        0.3196137
   1.8734120        0.3178098
   1.8858985        0.3159938
   1.8984681        0.3141657
   1.9111216        0.3123254
   1.9238593        0.3104729
   1.9366820        0.3086080
   1.9495901        0.3067306
   1.9625843        0.3048408
   1.9756651        0.3029384
   1.9888330        0.3010233
   2.0020887        0.2990954
