# METIS WFS dichroic (ZnSe), ~60 K (TBC)
# Created: Kieran Leschinski, from data from Roy van Boekel
# Date: 2018.04.26
# Note: in the original file METIS_CFO_WFS_dichroic.csv, the trans + emiss != 1
#   This is because of surface losses due to reflection. This should be accounted
#   for when including the emission from this element
#
# wavelength      transmission
#   [micron]   [dimensionless]
   1.0033284         0.2194135
   1.0100157         0.1099403
   1.0167475         0.0843593
   1.0235242         0.0716476
   1.0303461         0.0720038
   1.0372134         0.0919191
   1.0441265         0.1416785
   1.0510857         0.2309673
   1.0580913         0.4243211
   1.0651435         0.5176340
   1.0722428         0.5214615
   1.0793894         0.4114041
   1.0865836         0.3908079
   1.0938258         0.4240225
   1.1011162         0.4895672
   1.1084552         0.5064470
   1.1158432         0.3972272
   1.1232803         0.2759958
   1.1307671         0.1886248
   1.1383037         0.1554635
   1.1458906         0.1503563
   1.1535281         0.1731685
   1.1612164         0.2364506
   1.1689560         0.3920166
   1.1767472         0.5236547
   1.1845903         0.4246020
   1.1924857         0.2097041
   1.2004337         0.1010486
   1.2084347         0.0650442
   1.2164890         0.0469688
   1.2245970         0.0387015
   1.2327590         0.0362759
   1.2409754         0.0378779
   1.2492466         0.0453220
   1.2575730         0.0656897
   1.2659548         0.1154700
   1.2743925         0.2596438
   1.2828864         0.4995198
   1.2914369         0.6785570
   1.3000444         0.3713193
   1.3087093         0.2387463
   1.3174320         0.1929881
   1.3262128         0.2001531
   1.3350521         0.2655724
   1.3439503         0.4112512
   1.3529078         0.5352978
   1.3619251         0.4490662
   1.3710024         0.2365727
   1.3801402         0.1333830
   1.3893390         0.0929085
   1.3985990         0.0736618
   1.4079208         0.0670396
   1.4173047         0.0696524
   1.4267511         0.0804517
   1.4362605         0.1019034
   1.4458333         0.1388330
   1.4554699         0.1869903
   1.4651707         0.2187560
   1.4749362         0.2092170
   1.4847668         0.1729330
   1.4946628         0.1384778
   1.5046249         0.1156002
   1.5146533         0.1037427
   1.5247486         0.0995251
   1.5349112         0.1014556
   1.5451415         0.1081132
   1.5554400         0.1185280
   1.5658071         0.1332913
   1.5762433         0.1506135
   1.5867491         0.1691483
   1.5973249         0.1874523
   1.6079712         0.2023625
   1.6186884         0.2084754
   1.6294771         0.2023660
   1.6403377         0.1821895
   1.6512707         0.1558232
   1.6622765         0.1292192
   1.6733557         0.1072952
   1.6845088         0.0901386
   1.6957361         0.0784111
   1.7070383         0.0707770
   1.7184159         0.0673168
   1.7298693         0.0670000
   1.7413990         0.0706995
   1.7530055         0.0780055
   1.7646894         0.0920342
   1.7764512         0.1141928
   1.7882914         0.1477035
   1.8002105         0.1949475
   1.8122091         0.2456272
   1.8242876         0.2681425
   1.8364466         0.2476604
   1.8486866         0.2039909
   1.8610083         0.1634794
   1.8734120         0.1355408
   1.8858985         0.1185117
   1.8984681         0.1089191
   1.9111216         0.1073365
   1.9238593         0.1127016
   1.9366820         0.1250184
   1.9495901         0.1453031
   1.9625843         0.1757191
   1.9756651         0.2097291
   1.9888330         0.2368994
   2.0020887         0.2352402
   2.0154328         0.2052448
   2.0288658         0.1645158
   2.0423884         0.1289843
   2.0560010         0.1033982
   2.0697045         0.0863250
   2.0834992         0.0752504
   2.0973859         0.0690456
   2.1113651         0.0660000
   2.1254375         0.0665438
   2.1396037         0.0698811
   2.1538643         0.0759321
   2.1682200         0.0855759
   2.1826714         0.1002056
   2.1972190         0.1198285
   2.2118637         0.1457272
   2.2266059         0.1758723
   2.2414464         0.2064589
   2.2563858         0.2280244
   2.2714248         0.2355726
   2.2865640         0.2277488
   2.3018041         0.2118350
   2.3171458         0.1941395
   2.3325898         0.1799281
   2.3481367         0.1691179
   2.3637872         0.1642425
   2.3795420         0.1639542
   2.3954018         0.1681607
   2.4113674         0.1770938
   2.4274393         0.1921832
   2.4436184         0.2137893
   2.4599053         0.2418294
   2.4763007         0.2797518
   2.4928055         0.3269775
   2.5094202         0.3829707
   2.5261457         0.4485828
   2.5429826         0.5188255
   2.5599318         0.5897206
   2.5769939         0.6534790
   2.5941698         0.7058417
   2.6114601         0.7446284
   2.6288657         0.7715253
   2.6463873         0.7897485
   2.6640257         0.8024154
   2.6817816         0.8130689
   2.6996559         0.8228279
   2.7176493         0.8328246
   2.7357626         0.8434576
   2.7539967         0.8529984
   2.7723523         0.8619409
   2.7908302         0.8692491
   2.8094313         0.8748294
   2.8281564         0.8786313
   2.8470063         0.8817007
   2.8659818         0.8841964
   2.8850838         0.8865084
   2.9043131         0.8898626
   2.9236706         0.8937341
   2.9431570         0.8989471
   2.9627734         0.9048320
   2.9825205         0.9110082
   3.0023992         0.9177198
   3.0224105         0.9234821
   3.0425551         0.9275110
   3.0628339         0.9302834
   3.0832479         0.9310000
   3.1037980         0.9306202
   3.1244851         0.9285515
   3.1453100         0.9254690
   3.1662737         0.9217453
   3.1873772         0.9182623
   3.2086213         0.9151379
   3.2300070         0.9129993
   3.2515352         0.9110000
   3.2732070         0.9110000
   3.2950231         0.9115023
   3.3169847         0.9130000
   3.3390927         0.9149093
   3.3613480         0.9161348
   3.3837516         0.9180000
   3.4063046         0.9190000
   3.4290079         0.9190000
   3.4518625         0.9178137
   3.4748694         0.9155131
   3.4980297         0.9123941
   3.5213443         0.9087311
   3.5448143         0.9050371
   3.5684408         0.9003118
   3.5922247         0.8965551
   3.6161671         0.8927666
   3.6402692         0.8899731
   3.6645318         0.8875468
   3.6889562         0.8861044
   3.7135434         0.8860000
   3.7382944         0.8870000
   3.7632105         0.8883211
   3.7882925         0.8908292
   3.8135418         0.8923542
   3.8389594         0.8948959
   3.8645463         0.8974547
   3.8903038         0.9000000
   3.9162330         0.9016233
   3.9423350         0.9022335
   3.9686109         0.9030000
   3.9950620         0.9030000
   4.0216894         0.9020000
   4.0484943         0.9010000
   4.0754778         0.8994522
   4.1026412         0.8977359
   4.1299856         0.8960015
   4.1575122         0.8950000
   4.1852224         0.8940000
   4.2131172         0.8940000
   4.2411979         0.8940000
   4.2694659         0.8949466
   4.2979222         0.8960000
   4.3265681         0.8976568
   4.3554050         0.9005405
   4.3844342         0.9034434
   4.4136567         0.9063657
   4.4430741         0.9093074
   4.4726875         0.9122688
   4.5024983         0.9162498
