# METIS IMG dichroic (ZnSe), ~40 K (TBC)
# Created: Kieran Leschinski, from data from Roy van Boekel
# Date: 2018.04.26
# Note: in the original file METIS_IMG_dichroic.csv, the trans + emiss != 1
#   This is because of surface losses due to reflection. This should be accounted
#   for when including the emission from this element
#
# wavelength      transmission
#   [micron]   [dimensionless]
   1.0033284         0.0000000
   1.0100157         0.0000000
   1.0167475         0.0000000
   1.0235242         0.0000000
   1.0303461         0.0000000
   1.0372134         0.0000000
   1.0441265         0.0000000
   1.0510857         0.0000000
   1.0580913         0.0000000
   1.0651435         0.0000000
   1.0722428         0.0000000
   1.0793894         0.0000000
   1.0865836         0.0000000
   1.0938258         0.0000000
   1.1011162         0.0000000
   1.1084552         0.0000000
   1.1158432         0.0000000
   1.1232803         0.0000000
   1.1307671         0.0000000
   1.1383037         0.0000000
   1.1458906         0.0000000
   1.1535281         0.0000000
   1.1612164         0.0000000
   1.1689560         0.0000000
   1.1767472         0.0000000
   1.1845903         0.0000000
   1.1924857         0.0000000
   1.2004337         0.0000000
   1.2084347         0.0000000
   1.2164890         0.0000000
   1.2245970         0.0000000
   1.2327590         0.0000000
   1.2409754         0.0000000
   1.2492466         0.0000000
   1.2575730         0.0000000
   1.2659548         0.0000000
   1.2743925         0.0000000
   1.2828864         0.0000000
   1.2914369         0.0000000
   1.3000444         0.0000000
   1.3087093         0.0000000
   1.3174320         0.0000000
   1.3262128         0.0000000
   1.3350521         0.0000000
   1.3439503         0.0000000
   1.3529078         0.0000000
   1.3619251         0.0000000
   1.3710024         0.0000000
   1.3801402         0.0000000
   1.3893390         0.0000000
   1.3985990         0.0000000
   1.4079208         0.0000000
   1.4173047         0.0000000
   1.4267511         0.0000000
   1.4362605         0.0000000
   1.4458333         0.0000000
   1.4554699         0.0000000
   1.4651707         0.0000000
   1.4749362         0.0000000
   1.4847668         0.0000000
   1.4946628         0.0000000
   1.5046249         0.8554114
   1.5146533         0.8625918
   1.5247486         0.8698200
   1.5349112         0.8770964
   1.5451415         0.8844213
   1.5554400         0.8917950
   1.5658071         0.8992179
   1.5762433         0.9066902
   1.5867491         0.9142123
   1.5973249         0.9217846
   1.6079712         0.8648249
   1.6186884         0.7856673
   1.6294771         0.7059821
   1.6403377         0.6257658
   1.6512707         0.5450148
   1.6622765         0.4637256
   1.6733557         0.3818947
   1.6845088         0.2995183
   1.6957361         0.2165929
   1.7070383         0.2309689
   1.7184159         0.3051164
   1.7298693         0.3797580
   1.7413990         0.4548971
   1.7530055         0.5305370
   1.7646894         0.6066811
   1.7764512         0.6833327
   1.7882914         0.7604951
   1.8002105         0.8364600
   1.8122091         0.8170824
   1.8242876         0.7975756
   1.8364466         0.7779388
   1.8486866         0.7581711
   1.8610083         0.7382716
   1.8734120         0.7182396
   1.8858985         0.6980740
   1.8984681         0.6777740
   1.9111216         0.7062179
   1.9238593         0.7416289
   1.9366820         0.7772759
   1.9495901         0.8131605
   1.9625843         0.8492843
   1.9756651         0.8856489
   1.9888330         0.9222558
   2.0020887         0.9524645
   2.0154328         0.9471269
   2.0288658         0.9417537
   2.0423884         0.9363446
   2.0560010         0.9308996
   2.0697045         0.9254182
   2.0834992         0.9199003
   2.0973859         0.9143457
   2.1113651         0.9051285
   2.1254375         0.8950104
   2.1396037         0.8848249
   2.1538643         0.8745715
   2.1682200         0.8642498
   2.1826714         0.8538593
   2.1972190         0.8433995
   2.2118637         0.8186574
   2.2266059         0.7903965
   2.2414464         0.7619473
   2.2563858         0.7333084
   2.2714248         0.7044787
   2.2865640         0.6754568
   2.3018041         0.6551629
   2.3171458         0.7016176
   2.3325898         0.7483819
   2.3481367         0.7954578
   2.3637872         0.8428476
   2.3795420         0.8905532
   2.3954018         0.9385767
   2.4113674         0.9244454
   2.4274393         0.8847798
   2.4436184         0.8448498
   2.4599053         0.8046538
   2.4763007         0.7641898
   2.4928055         0.7234561
   2.5094202         0.7317280
   2.5261457         0.7779405
   2.5429826         0.8244610
   2.5599318         0.8712916
   2.5769939         0.9184343
   2.5941698         0.9658912
   2.6114601         0.9578993
   2.6288657         0.9212954
   2.6463873         0.8844475
   2.6640257         0.8473540
   2.6817816         0.8100133
   2.6996559         0.7724237
   2.7176493         0.7999036
   2.7357626         0.8288487
   2.7539967         0.8579867
   2.7723523         0.8873190
   2.7908302         0.9168467
   2.8094313         0.9268881
   2.8281564         0.9177315
   2.8470063         0.9085139
   2.8659818         0.8992349
   2.8850838         0.8898940
   2.9043131         0.8741593
   2.9236706         0.8362767
   2.9431570         0.7981417
   2.9627734         0.7597524
   2.9825205         0.7211073
   3.0023992         0.6870104
   3.0224105         0.6879309
   3.0425551         0.6888575
