# METIS WFS dichroic (ZnSe), at ca. 60 K (TBC)
# received from Roy as METIS_CFO_WDS_dichroic.csv on 25 May 2018
#
# wavelength     transmission       emissivity
#   [micron]  [dimensionless]  [dimensionless]
   1.0033284        0.2194135        0.0199433
   1.0100157        0.1099403        0.0195908
   1.0167475        0.0843593        0.0192446
   1.0235242        0.0716476        0.0189045
   1.0303461        0.0720038        0.0185704
   1.0372134        0.0919191        0.0182422
   1.0441265        0.1416785        0.0179198
   1.0510857        0.2309673        0.0176031
   1.0580913        0.4243211        0.0172920
   1.0651435        0.5176340        0.0169864
   1.0722428        0.5214615        0.0166863
   1.0793894        0.4114041        0.0163914
   1.0865836        0.3908079        0.0161017
   1.0938258        0.4240225        0.0158171
   1.1011162        0.4895672        0.0155376
   1.1084552        0.5064470        0.0152630
   1.1158432        0.3972272        0.0149933
   1.1232803        0.2759958        0.0147283
   1.1307671        0.1886248        0.0144680
   1.1383037        0.1554635        0.0142123
   1.1458906        0.1503563        0.0139612
   1.1535281        0.1731685        0.0137144
   1.1612164        0.2364506        0.0134721
   1.1689560        0.3920166        0.0132340
   1.1767472        0.5236547        0.0130001
   1.1845903        0.4246020        0.0127703
   1.1924857        0.2097041        0.0125447
   1.2004337        0.1010486        0.0123230
   1.2084347        0.0650442        0.0121052
   1.2164890        0.0469688        0.0118913
   1.2245970        0.0387015        0.0116811
   1.2327590        0.0362759        0.0114747
   1.2409754        0.0378779        0.0112719
   1.2492466        0.0453220        0.0110727
   1.2575730        0.0656897        0.0108770
   1.2659548        0.1154700        0.0106848
   1.2743925        0.2596438        0.0104959
   1.2828864        0.4995198        0.0103105
   1.2914369        0.6785570        0.0101282
   1.3000444        0.3713193        0.0099492
   1.3087093        0.2387463        0.0097734
   1.3174320        0.1929881        0.0096007
   1.3262128        0.2001531        0.0094310
   1.3350521        0.2655724        0.0092644
   1.3439503        0.4112512        0.0091006
   1.3529078        0.5352978        0.0089398
   1.3619251        0.4490662        0.0087818
   1.3710024        0.2365727        0.0086266
   1.3801402        0.1333830        0.0084742
   1.3893390        0.0929085        0.0083244
   1.3985990        0.0736618        0.0081773
   1.4079208        0.0670396        0.0080328
   1.4173047        0.0696524        0.0078908
   1.4267511        0.0804517        0.0077514
   1.4362605        0.1019034        0.0076144
   1.4458333        0.1388330        0.0074798
   1.4554699        0.1869903        0.0073476
   1.4651707        0.2187560        0.0072178
   1.4749362        0.2092170        0.0070902
   1.4847668        0.1729330        0.0069649
   1.4946628        0.1384778        0.0068418
   1.5046249        0.1156002        0.0067209
   1.5146533        0.1037427        0.0066021
   1.5247486        0.0995251        0.0064855
   1.5349112        0.1014556        0.0063708
   1.5451415        0.1081132        0.0062583
   1.5554400        0.1185280        0.0061477
   1.5658071        0.1332913        0.0060390
   1.5762433        0.1506135        0.0059323
   1.5867491        0.1691483        0.0058274
   1.5973249        0.1874523        0.0057245
   1.6079712        0.2023625        0.0056233
   1.6186884        0.2084754        0.0055239
   1.6294771        0.2023660        0.0054263
   1.6403377        0.1821895        0.0053304
   1.6512707        0.1558232        0.0052362
   1.6622765        0.1292192        0.0051437
   1.6733557        0.1072952        0.0050528
   1.6845088        0.0901386        0.0049635
   1.6957361        0.0784111        0.0048757
   1.7070383        0.0707770        0.0047896
   1.7184159        0.0673168        0.0047049
   1.7298693        0.0670000        0.0046218
   1.7413990        0.0706995        0.0045401
   1.7530055        0.0780055        0.0044599
   1.7646894        0.0920342        0.0043810
   1.7764512        0.1141928        0.0043036
   1.7882914        0.1477035        0.0042276
   1.8002105        0.1949475        0.0041529
   1.8122091        0.2456272        0.0040795
   1.8242876        0.2681425        0.0040074
   1.8364466        0.2476604        0.0039365
   1.8486866        0.2039909        0.0038670
   1.8610083        0.1634794        0.0037986
   1.8734120        0.1355408        0.0037315
   1.8858985        0.1185117        0.0036656
   1.8984681        0.1089191        0.0036008
   1.9111216        0.1073365        0.0035371
   1.9238593        0.1127016        0.0034746
   1.9366820        0.1250184        0.0034132
   1.9495901        0.1453031        0.0033529
   1.9625843        0.1757191        0.0032937
   1.9756651        0.2097291        0.0032354
   1.9888330        0.2368994        0.0031783
   2.0020887        0.2352402        0.0031221
   2.0154328        0.2052448        0.0030669
   2.0288658        0.1645158        0.0030127
   2.0423884        0.1289843        0.0029595
   2.0560010        0.1033982        0.0029072
   2.0697045        0.0863250        0.0028558
   2.0834992        0.0752504        0.0028053
   2.0973859        0.0690456        0.0027558
   2.1113651        0.0660000        0.0027071
   2.1254375        0.0665438        0.0026592
   2.1396037        0.0698811        0.0026122
   2.1538643        0.0759321        0.0025661
   2.1682200        0.0855759        0.0025207
   2.1826714        0.1002056        0.0024762
   2.1972190        0.1198285        0.0024324
   2.2118637        0.1457272        0.0023894
   2.2266059        0.1758723        0.0023472
   2.2414464        0.2064589        0.0023057
   2.2563858        0.2280244        0.0022650
   2.2714248        0.2355726        0.0022249
   2.2865640        0.2277488        0.0021856
   2.3018041        0.2118350        0.0021470
   2.3171458        0.1941395        0.0021090
   2.3325898        0.1799281        0.0020718
   2.3481367        0.1691179        0.0020352
   2.3637872        0.1642425        0.0019992
   2.3795420        0.1639542        0.0019639
   2.3954018        0.1681607        0.0019292
   2.4113674        0.1770938        0.0018951
   2.4274393        0.1921832        0.0018616
   2.4436184        0.2137893        0.0018287
   2.4599053        0.2418294        0.0017964
   2.4763007        0.2797518        0.0017646
   2.4928055        0.3269775        0.0017334
   2.5094202        0.3829707        0.0017028
   2.5261457        0.4485828        0.0016727
   2.5429826        0.5188255        0.0016431
   2.5599318        0.5897206        0.0016141
   2.5769939        0.6534790        0.0015856
   2.5941698        0.7058417        0.0015575
   2.6114601        0.7446284        0.0015300
   2.6288657        0.7715253        0.0015030
   2.6463873        0.7897485        0.0014764
   2.6640257        0.8024154        0.0014503
   2.6817816        0.8130689        0.0014247
   2.6996559        0.8228279        0.0013995
   2.7176493        0.8328246        0.0013842
   2.7357626        0.8434576        0.0013692
   2.7539967        0.8529984        0.0013544
   2.7723523        0.8619409        0.0013398
   2.7908302        0.8692491        0.0013253
   2.8094313        0.8748294        0.0013110
   2.8281564        0.8786313        0.0012968
   2.8470063        0.8817007        0.0012828
   2.8659818        0.8841964        0.0012689
   2.8850838        0.8865084        0.0012552
   2.9043131        0.8898626        0.0012416
   2.9236706        0.8937341        0.0012282
   2.9431570        0.8989471        0.0012149
   2.9627734        0.9048320        0.0012017
   2.9825205        0.9110082        0.0011887
   3.0023992        0.9177198        0.0011759
   3.0224105        0.9234821        0.0011632
   3.0425551        0.9275110        0.0011506
   3.0628339        0.9302834        0.0011382
   3.0832479        0.9310000        0.0011258
   3.1037980        0.9306202        0.0011137
   3.1244851        0.9285515        0.0011016
   3.1453100        0.9254690        0.0010897
   3.1662737        0.9217453        0.0010779
   3.1873772        0.9182623        0.0010663
   3.2086213        0.9151379        0.0010547
   3.2300070        0.9129993        0.0010433
   3.2515352        0.9110000        0.0010321
   3.2732070        0.9110000        0.0010209
   3.2950231        0.9115023        0.0010099
   3.3169847        0.9130000        0.0009989
   3.3390927        0.9149093        0.0009881
   3.3613480        0.9161348        0.0009774
   3.3837516        0.9180000        0.0009669
   3.4063046        0.9190000        0.0009564
   3.4290079        0.9190000        0.0009461
   3.4518625        0.9178137        0.0009358
   3.4748694        0.9155131        0.0009257
   3.4980297        0.9123941        0.0009157
   3.5213443        0.9087311        0.0009058
   3.5448143        0.9050371        0.0008960
   3.5684408        0.9003118        0.0008863
   3.5922247        0.8965551        0.0008767
   3.6161671        0.8927666        0.0008673
   3.6402692        0.8899731        0.0008579
   3.6645318        0.8875468        0.0008486
   3.6889562        0.8861044        0.0008394
   3.7135434        0.8860000        0.0008304
   3.7382944        0.8870000        0.0008214
   3.7632105        0.8883211        0.0008125
   3.7882925        0.8908292        0.0008037
   3.8135418        0.8923542        0.0007997
   3.8389594        0.8948959        0.0007997
   3.8645463        0.8974547        0.0007997
   3.8903038        0.9000000        0.0007997
   3.9162330        0.9016233        0.0007997
   3.9423350        0.9022335        0.0007997
   3.9686109        0.9030000        0.0007997
   3.9950620        0.9030000        0.0007997
   4.0216894        0.9020000        0.0007997
   4.0484943        0.9010000        0.0007997
   4.0754778        0.8994522        0.0007997
   4.1026412        0.8977359        0.0007997
   4.1299856        0.8960015        0.0007997
   4.1575122        0.8950000        0.0007997
   4.1852224        0.8940000        0.0007997
   4.2131172        0.8940000        0.0007997
   4.2411979        0.8940000        0.0007997
   4.2694659        0.8949466        0.0007997
   4.2979222        0.8960000        0.0007997
   4.3265681        0.8976568        0.0007997
   4.3554050        0.9005405        0.0007997
   4.3844342        0.9034434        0.0007997
   4.4136567        0.9063657        0.0007997
   4.4430741        0.9093074        0.0007997
   4.4726875        0.9122688        0.0007997
   4.5024983        0.9162498        0.0007997
   4.5325078        0.9182508        0.0007997
