#  "Lp" from Roys wish filter list, July 2018
# Wavelength  Throughput
#   [micron]  [dim-less]
      3.3975      0.0000
      3.3982      0.0000
      3.3989      0.0034
      3.3996      0.0076
      3.4003      0.0101
      3.4010      0.0105
      3.4017      0.0109
      3.4024      0.0112
      3.4031      0.0116
      3.4038      0.0119
      3.4045      0.0123
      3.4052      0.0126
      3.4059      0.0130
      3.4067      0.0133
      3.4074      0.0137
      3.4081      0.0140
      3.4088      0.0144
      3.4095      0.0147
      3.4102      0.0151
      3.4109      0.0154
      3.4116      0.0158
      3.4123      0.0162
      3.4130      0.0165
      3.4137      0.0169
      3.4144      0.0172
      3.4151      0.0176
      3.4159      0.0179
      3.4166      0.0183
      3.4173      0.0186
      3.4180      0.0190
      3.4187      0.0193
      3.4194      0.0197
      3.4201      0.0202
      3.4208      0.0211
      3.4215      0.0220
      3.4222      0.0230
      3.4230      0.0239
      3.4237      0.0249
      3.4244      0.0258
      3.4251      0.0268
      3.4258      0.0277
      3.4265      0.0287
      3.4272      0.0296
      3.4279      0.0306
      3.4286      0.0315
      3.4294      0.0325
      3.4301      0.0334
      3.4308      0.0344
      3.4315      0.0353
      3.4322      0.0363
      3.4329      0.0372
      3.4336      0.0382
      3.4343      0.0391
      3.4351      0.0401
      3.4358      0.0410
      3.4365      0.0420
      3.4372      0.0429
      3.4379      0.0439
      3.4386      0.0448
      3.4393      0.0458
      3.4401      0.0467
      3.4408      0.0477
      3.4415      0.0486
      3.4422      0.0496
      3.4429      0.0505
      3.4436      0.0515
      3.4443      0.0525
      3.4451      0.0534
      3.4458      0.0544
      3.4465      0.0553
      3.4472      0.0563
      3.4479      0.0572
      3.4486      0.0582
      3.4493      0.0591
      3.4501      0.0606
      3.4508      0.0666
      3.4515      0.0727
      3.4522      0.0788
      3.4529      0.0849
      3.4536      0.0910
      3.4544      0.0971
      3.4551      0.1032
      3.4558      0.1093
      3.4565      0.1154
      3.4572      0.1215
      3.4580      0.1276
      3.4587      0.1337
      3.4594      0.1398
      3.4601      0.1459
      3.4608      0.1520
      3.4615      0.1581
      3.4623      0.1642
      3.4630      0.1703
      3.4637      0.1764
      3.4644      0.1826
      3.4651      0.1887
      3.4659      0.1948
      3.4666      0.2009
      3.4673      0.2070
      3.4680      0.2131
      3.4687      0.2193
      3.4695      0.2254
      3.4702      0.2325
      3.4709      0.2426
      3.4716      0.2527
      3.4723      0.2627
      3.4731      0.2728
      3.4738      0.2829
      3.4745      0.2930
      3.4752      0.3031
      3.4759      0.3132
      3.4767      0.3233
      3.4774      0.3334
      3.4781      0.3435
      3.4788      0.3537
      3.4796      0.3638
      3.4803      0.3739
      3.4810      0.3840
      3.4817      0.3941
      3.4824      0.4042
      3.4832      0.4144
      3.4839      0.4245
      3.4846      0.4346
      3.4853      0.4447
      3.4861      0.4549
      3.4868      0.4650
      3.4875      0.4751
      3.4882      0.4853
      3.4890      0.4954
      3.4897      0.5056
      3.4904      0.5157
      3.4911      0.5258
      3.4919      0.5360
      3.4926      0.5461
      3.4933      0.5563
      3.4940      0.5664
      3.4948      0.5766
      3.4955      0.5868
      3.4962      0.5969
      3.4969      0.6071
      3.4977      0.6172
      3.4984      0.6274
      3.4991      0.6376
      3.4998      0.6477
      3.5006      0.6548
      3.5013      0.6610
      3.5020      0.6672
      3.5027      0.6733
      3.5035      0.6795
      3.5042      0.6857
      3.5049      0.6919
      3.5057      0.6981
      3.5064      0.7043
      3.5071      0.7105
      3.5078      0.7166
      3.5086      0.7228
      3.5093      0.7290
      3.5100      0.7352
      3.5108      0.7414
      3.5115      0.7476
      3.5122      0.7538
      3.5129      0.7600
      3.5137      0.7662
      3.5144      0.7724
      3.5151      0.7786
      3.5159      0.7848
      3.5166      0.7910
      3.5173      0.7972
      3.5180      0.8034
      3.5188      0.8096
      3.5195      0.8158
      3.5202      0.8206
      3.5210      0.8226
      3.5217      0.8245
      3.5224      0.8265
      3.5232      0.8284
      3.5239      0.8304
      3.5246      0.8323
      3.5254      0.8343
      3.5261      0.8362
      3.5268      0.8382
      3.5276      0.8402
      3.5283      0.8421
      3.5290      0.8441
      3.5298      0.8460
      3.5305      0.8480
      3.5312      0.8499
      3.5320      0.8519
      3.5327      0.8538
      3.5334      0.8558
      3.5342      0.8577
      3.5349      0.8597
      3.5356      0.8617
      3.5364      0.8636
      3.5371      0.8656
      3.5378      0.8675
      3.5386      0.8695
      3.5393      0.8714
      3.5400      0.8734
      3.5408      0.8754
      3.5415      0.8773
      3.5422      0.8793
      3.5430      0.8812
      3.5437      0.8832
      3.5444      0.8852
      3.5452      0.8871
      3.5459      0.8891
      3.5466      0.8911
      3.5474      0.8930
      3.5481      0.8950
      3.5489      0.8970
      3.5496      0.8989
      3.5503      0.9003
      3.5511      0.9011
      3.5518      0.9018
      3.5525      0.9025
      3.5533      0.9033
      3.5540      0.9040
      3.5548      0.9048
      3.5555      0.9055
      3.5562      0.9062
      3.5570      0.9070
      3.5577      0.9077
      3.5584      0.9084
      3.5592      0.9092
      3.5599      0.9099
      3.5607      0.9107
      3.5614      0.9114
      3.5621      0.9121
      3.5629      0.9129
      3.5636      0.9136
      3.5644      0.9144
      3.5651      0.9151
      3.5658      0.9158
      3.5666      0.9166
      3.5673      0.9173
      3.5681      0.9181
      3.5688      0.9188
      3.5695      0.9195
      3.5703      0.9200
      3.5710      0.9200
      3.5718      0.9200
      3.5725      0.9200
      3.5733      0.9200
      3.5740      0.9200
      3.5747      0.9200
      3.5755      0.9200
      3.5762      0.9200
      3.5770      0.9200
      3.5777      0.9200
      3.5784      0.9200
      3.5792      0.9200
      3.5799      0.9200
      3.5807      0.9200
      3.5814      0.9200
      3.5822      0.9200
      3.5829      0.9200
      3.5837      0.9200
      3.5844      0.9200
      3.5851      0.9200
      3.5859      0.9200
      3.5866      0.9200
      3.5874      0.9200
      3.5881      0.9200
      3.5889      0.9200
      3.5896      0.9200
      3.5904      0.9200
      3.5911      0.9200
      3.5918      0.9200
      3.5926      0.9200
      3.5933      0.9200
      3.5941      0.9200
      3.5948      0.9200
      3.5956      0.9200
      3.5963      0.9200
      3.5971      0.9200
      3.5978      0.9200
      3.5986      0.9200
      3.5993      0.9200
      3.6001      0.9201
      3.6008      0.9208
      3.6016      0.9216
      3.6023      0.9223
      3.6030      0.9230
      3.6038      0.9238
      3.6045      0.9245
      3.6053      0.9253
      3.6060      0.9260
      3.6068      0.9268
      3.6075      0.9275
      3.6083      0.9283
      3.6090      0.9290
      3.6098      0.9298
      3.6105      0.9305
      3.6113      0.9313
      3.6120      0.9320
      3.6128      0.9328
      3.6135      0.9335
      3.6143      0.9343
      3.6150      0.9350
      3.6158      0.9358
      3.6165      0.9365
      3.6173      0.9373
      3.6180      0.9380
      3.6188      0.9388
      3.6195      0.9395
      3.6203      0.9400
      3.6210      0.9400
      3.6218      0.9400
      3.6225      0.9400
      3.6233      0.9400
      3.6241      0.9400
      3.6248      0.9400
      3.6256      0.9400
      3.6263      0.9400
      3.6271      0.9400
      3.6278      0.9400
      3.6286      0.9400
      3.6293      0.9400
      3.6301      0.9400
      3.6308      0.9400
      3.6316      0.9400
      3.6323      0.9400
      3.6331      0.9400
      3.6338      0.9400
      3.6346      0.9400
      3.6354      0.9400
      3.6361      0.9400
      3.6369      0.9400
