#  "Mp" from Roys wish filter list, July 2018
# Wavelength  Throughput
#   [micron]  [dim-less]
      4.3867      0.0000
      4.3876      0.0000
      4.3885      0.0033
      4.3894      0.0074
      4.3903      0.0103
      4.3913      0.0113
      4.3922      0.0122
      4.3931      0.0131
      4.3940      0.0140
      4.3949      0.0149
      4.3958      0.0158
      4.3967      0.0167
      4.3976      0.0176
      4.3986      0.0186
      4.3995      0.0195
      4.4004      0.0204
      4.4013      0.0213
      4.4022      0.0222
      4.4031      0.0231
      4.4040      0.0240
      4.4050      0.0250
      4.4059      0.0259
      4.4068      0.0268
      4.4077      0.0277
      4.4086      0.0286
      4.4095      0.0295
      4.4104      0.0304
      4.4114      0.0314
      4.4123      0.0323
      4.4132      0.0332
      4.4141      0.0341
      4.4150      0.0350
      4.4159      0.0359
      4.4169      0.0369
      4.4178      0.0378
      4.4187      0.0387
      4.4196      0.0396
      4.4205      0.0429
      4.4214      0.0479
      4.4224      0.0530
      4.4233      0.0580
      4.4242      0.0631
      4.4251      0.0681
      4.4260      0.0732
      4.4270      0.0782
      4.4279      0.0833
      4.4288      0.0884
      4.4297      0.0934
      4.4306      0.0985
      4.4316      0.1035
      4.4325      0.1086
      4.4334      0.1137
      4.4343      0.1187
      4.4352      0.1238
      4.4362      0.1288
      4.4371      0.1339
      4.4380      0.1390
      4.4389      0.1440
      4.4398      0.1491
      4.4408      0.1542
      4.4417      0.1593
      4.4426      0.1643
      4.4435      0.1694
      4.4444      0.1745
      4.4454      0.1795
      4.4463      0.1846
      4.4472      0.1897
      4.4481      0.1948
      4.4491      0.1999
      4.4500      0.2049
      4.4509      0.2100
      4.4518      0.2151
      4.4528      0.2202
      4.4537      0.2253
      4.4546      0.2304
      4.4555      0.2354
      4.4565      0.2405
      4.4574      0.2456
      4.4583      0.2507
      4.4592      0.2558
      4.4602      0.2618
      4.4611      0.2720
      4.4620      0.2822
      4.4629      0.2923
      4.4639      0.3025
      4.4648      0.3127
      4.4657      0.3229
      4.4666      0.3331
