#lambda lambda_nm X1.0 X1.1 X1.2 X1.3 X1.5 X1.7 X2.0 X2.5 X3.0
0.3 300.0 5.28909 4.53034 3.94647 5.42566 4.65729 4.21194 5.01832 5.61402 6.19066
0.30030015 300.30015 16.1624 14.9787 13.9595 13.2968 12.0413 11.2623 10.9234 10.971 11.3848
0.3006006 300.6006 17.3069 16.0922 15.0332 14.3345 12.9958 12.1491 11.7558 11.7805 12.2174
0.300901351 300.901351 20.1072 18.87 17.7683 17.0472 15.5929 14.6411 14.1781 14.1648 14.637
0.301202403 301.202403 23.8523 22.6063 21.4656 20.7172 19.1251 18.0368 17.4592 17.3497 17.8182
0.301503756 301.503756 26.9066 25.6782 24.5291 23.7754 22.1067 20.9333 20.2839 20.1178 20.6014
0.30180541099999997 301.805411 28.7245 27.5214 26.3822 25.6353 23.9475 22.7456 22.0802 21.914 22.4331
0.302107367 302.107367 30.6895 29.5168 28.3911 27.666 25.9599 24.727 24.0484 23.8793 24.4367
0.302409626 302.409626 34.0093 32.8884 31.7843 31.0872 29.3419 28.0458 27.318 27.1082 27.6932
0.30271218699999997 302.712187 39.5635 38.5539 37.511 36.8802 35.1105 33.7375 32.9463 32.6541 33.2518
0.30301504999999995 303.01505 46.7701 45.9486 45.0322 44.5304 42.8167 41.4151 40.6119 40.2636 40.8807
0.303318217 303.318217 53.5429 52.9315 52.1692 51.8137 50.2195 48.8483 48.0896 47.7379 48.3913
0.30362168700000003 303.621687 58.6476 58.2202 57.6025 57.3929 55.9498 54.6587 54.0085 53.7583 54.528
0.30392546 303.92546 59.5347 59.1443 58.5531 58.3535 56.9274 55.6382 54.9866 54.74 55.5201
0.30422953799999997 304.229538 62.3603 62.0568 61.5222 61.3817 59.966 58.6401 57.9247 57.5553 58.2565
0.30453391900000004 304.533919 67.3868 67.2624 66.8557 66.8176 65.4796 64.1479 63.3862 62.9103 63.5603
0.304838606 304.838606 74.9301 75.0839 74.8801 75.0158 73.8119 72.4798 71.6495 70.9673 71.4746
0.305143597 305.143597 83.0655 83.5428 83.5814 83.9131 82.8928 81.5883 80.6859 79.7473 80.0454
0.305448893 305.448893 88.3961 89.0925 89.2963 89.7509 88.8524 87.5589 86.5677 85.3672 85.4302
0.305754495 305.754495 89.2987 90.0626 90.3225 90.8164 89.985 88.7338 87.7804 86.6447 86.7522
0.306060402 306.060402 91.1841 92.0267 92.3403 92.8485 92.0238 90.7269 89.6602 88.2505 88.1365
0.306366615 306.366615 91.0399 91.9112 92.2504 92.793 92.0076 90.7425 89.6956 88.3733 88.3436
0.306673135 306.673135 97.6212 98.7856 99.3512 100.076 99.478 98.2507 97.1249 95.4759 95.1207
0.306979962 306.979962 107.659 109.309 110.274 111.358 111.209 110.224 109.279 107.586 107.103
0.307287095 307.287095 120.534 122.82 124.311 125.834 126.28 125.614 124.853 122.996 122.196
0.30759453600000003 307.594536 130.755 133.574 135.515 137.419 138.416 138.085 137.583 135.738 134.777
0.307902285 307.902285 131.781 134.689 136.71 138.689 139.804 139.561 139.127 137.359 136.461
0.30821034100000005 308.210341 132.549 135.528 137.614 139.639 140.849 140.676 140.33 138.634 137.773
0.308518705 308.518705 139.65 142.992 145.374 147.655 149.169 149.122 148.716 146.61 145.197
0.308827378 308.827378 136.037 139.278 141.579 143.764 145.198 145.118 144.697 142.688 141.444
0.30913636 309.13636 135.349 138.626 140.951 143.116 144.528 144.383 143.784 141.433 139.9
0.309445651 309.445651 140.302 143.909 146.498 148.869 150.512 150.406 149.592 146.563 144.262
0.309755252 309.755252 151.795 156.062 159.213 162.018 164.337 164.617 163.922 160.493 157.487
0.310065162 310.065162 161.625 166.458 170.121 173.419 176.52 177.412 177.442 174.772 172.208
0.310375382 310.375382 169.042 174.297 178.345 182.024 185.744 187.148 187.841 185.944 183.918
0.31068591300000004 310.685913 183.665 189.712 194.454 198.743 203.413 205.477 206.807 205.16 202.955
0.310996754 310.996754 194.897 201.58 206.888 211.717 217.213 219.891 221.842 220.717 218.625
0.311307906 311.307906 202.348 209.457 215.151 220.334 226.431 229.592 232.133 231.625 229.941
0.31161937 311.61937 212.001 219.683 225.894 231.573 238.449 242.211 245.445 245.585 244.18
0.311931145 311.931145 220.966 229.251 235.987 242.072 249.623 253.801 257.202 256.973 254.795
0.312243232 312.243232 223.748 232.313 239.302 245.562 253.466 257.884 261.403 261.068 258.578
0.312555632 312.555632 226.336 235.14 242.34 248.746 256.911 261.473 264.957 264.25 261.193
0.31286834399999996 312.868344 233.625 242.912 250.549 257.35 266.179 271.251 275.253 274.937 271.944
0.313181368 313.181368 239.023 248.663 256.624 263.713 273.053 278.537 283.022 283.169 280.411
0.313494706 313.494706 234.432 243.827 251.586 258.546 267.689 273.113 277.749 278.501 276.509
0.313808358 313.808358 238.313 247.983 255.989 263.158 272.652 278.322 283.134 283.863 281.631
0.314122323 314.122323 247.351 257.68 266.281 273.934 284.292 290.587 295.893 296.757 294.139
0.314436603 314.436603 296.522 308.233 317.641 325.618 335.337 339.766 340.977 333.945 324.275
0.314751197 314.751197 306.855 319.121 328.979 337.266 347.4 351.936 352.827 344.629 333.569
0.315066105 315.066105 299.415 311.557 321.375 329.677 340.039 344.954 346.508 339.451 329.311
0.315381329 315.381329 276.007 287.376 296.676 304.687 315.03 320.495 323.494 319.482 312.157
0.315696868 315.696868 243.892 254.415 263.232 271.037 281.835 288.529 294.175 295.326 292.663
0.316012723 316.012723 257.543 268.986 278.633 287.152 299.162 306.739 313.121 314.441 311.18
0.31632889399999997 316.328894 266.658 278.801 289.097 298.175 311.211 319.605 326.773 328.737 325.522
0.316645381 316.645381 281.067 294.055 305.087 314.785 328.803 337.852 345.49 347.384 343.57
0.316962184 316.962184 298.144 312.038 323.871 334.3 349.468 359.373 367.911 370.52 366.859
0.317279305 317.279305 310.343 324.895 337.319 348.299 364.378 375.018 384.448 388.092 385.105
0.317596743 317.596743 310.285 325.073 337.804 349.199 366.174 377.849 389.028 395.469 394.873
0.31791449899999996 317.914499 304.29 318.831 331.343 342.508 359.138 370.518 381.246 387.008 385.785
0.318232572 318.232572 303.704 318.447 331.164 342.468 359.464 371.151 382.098 387.919 386.443
0.31855096400000005 318.550964 305.589 320.668 333.706 345.232 362.735 374.805 385.968 391.597 389.437
0.318869674 318.869674 314.358 330.117 343.794 355.89 374.463 387.441 399.635 406.364 404.732
0.31918870299999996 319.188703 323.201 339.536 353.744 366.314 385.727 399.381 412.29 419.644 418.088
0.31950805200000004 319.508052 311.948 327.568 341.14 353.234 371.774 384.841 397.486 405.313 405.029
0.31982772 319.82772 321.379 337.486 351.49 363.961 383.115 396.629 409.658 417.567 416.905
0.320147707 320.147707 326.528 343.032 357.423 370.314 390.216 404.45 418.59 428.223 429.134
0.320468015 320.468015 354.254 372.552 388.586 402.898 425.354 441.614 457.801 469.045 469.946
0.320788643 320.788643 362.033 381.019 397.707 412.582 436.143 453.34 470.528 482.757 483.977
0.321109593 321.109593 414.781 436.161 454.611 470.625 494.967 511.233 524.699 527.695 519.138
0.321430863 321.430863 390.94 411.179 428.688 443.929 467.236 483.002 496.422 500.48 493.512
0.321752454 321.752454 365.382 384.445 401.032 415.573 438.114 453.778 467.883 474.276 469.925
0.322074368 322.074368 338.827 356.159 371.19 384.449 404.739 418.77 431.634 437.954 435.159
0.322396603 322.396603 346.279 364.055 379.473 393.027 413.812 428.141 441.058 446.852 443.031
0.322719161 322.719161 314.33 330.771 345.194 358.064 378.31 392.993 407.618 417.875 418.923
