# METIS IMG-LM detector QE (Hawaii2rg)
# wavelength               QE 
#
# FILE HISTORY
#    original name of this file: METIS_IMG_LM_QE.csv
#    received from Roy on 24 May 2018; it is the same file as used in Roy's fluxes document
# 
#   [micron]  [dimensionless] 
   1.0033284        0.8861127
   1.0100157        0.8839129
   1.0167475        0.8826924
   1.0235242        0.8822369
   1.0303461        0.8817784
   1.0372134        0.8811338
   1.0441265        0.8804375
   1.0510857        0.8796454
   1.0580913        0.8777242
   1.0651435        0.8757902
   1.0722428        0.8730160
   1.0793894        0.8699934
   1.0865836        0.8661392
   1.0938258        0.8645762
   1.1011162        0.8631073
   1.1084552        0.8616286
   1.1158432        0.8595314
   1.1232803        0.8567335
   1.1307671        0.8539182
   1.1383037        0.8510849
   1.1458906        0.8485442
   1.1535281        0.8458398
   1.1612164        0.8418368
   1.1689560        0.8404800
   1.1767472        0.8383433
   1.1845903        0.8359507
   1.1924857        0.8329803
   1.2004337        0.8297666
   1.2084347        0.8263826
   1.2164890        0.8208938
   1.2245970        0.8197379
   1.2327590        0.8170532
   1.2409754        0.8141134
   1.2492466        0.8110017
   1.2575730        0.8083829
   1.2659548        0.8055817
   1.2743925        0.8025439
   1.2828864        0.8003111
   1.2914369        0.7966947
   1.3000444        0.7935203
   1.3087093        0.7906707
   1.3174320        0.7879368
   1.3262128        0.7852560
   1.3350521        0.7828816
   1.3439503        0.7804885
   1.3529078        0.7780320
   1.3619251        0.7758381
   1.3710024        0.7744155
   1.3801402        0.7717576
   1.3893390        0.7677933
   1.3985990        0.7657368
   1.4079208        0.7643676
   1.4173047        0.7633429
   1.4267511        0.7632660
   1.4362605        0.7640367
   1.4458333        0.7629119
   1.4554699        0.7617796
   1.4651707        0.7595949
   1.4749362        0.7572998
   1.4847668        0.7561256
   1.4946628        0.7549618
   1.5046249        0.7566281
   1.5146533        0.7595407
   1.5247486        0.7615185
   1.5349112        0.7612935
   1.5451415        0.7595759
   1.5554400        0.7595659
   1.5658071        0.7601073
   1.5762433        0.7625044
   1.5867491        0.7662121
   1.5973249        0.7680772
   1.6079712        0.7674974
   1.6186884        0.7686171
   1.6294771        0.7697443
   1.6403377        0.7706326
   1.6512707        0.7714889
   1.6622765        0.7725383
   1.6733557        0.7736959
   1.6845088        0.7786121
   1.6957361        0.7787367
   1.7070383        0.7815396
   1.7184159        0.7845528
   1.7298693        0.7866372
   1.7413990        0.7887355
   1.7530055        0.7908477
   1.7646894        0.7929740
   1.7764512        0.7951145
   1.7882914        0.7972693
   1.8002105        0.7995821
   1.8122091        0.8014667
   1.8242876        0.8031705
   1.8364466        0.8056203
   1.8486866        0.8077207
   1.8610083        0.8095107
   1.8734120        0.8108067
   1.8858985        0.8121112
   1.8984681        0.8134245
   1.9111216        0.8142853
   1.9238593        0.8146596
   1.9366820        0.8147366
   1.9495901        0.8147366
   1.9625843        0.8173897
   1.9756651        0.8211479
   1.9888330        0.8234552
   2.0020887        0.8252926
   2.0154328        0.8272527
   2.0288658        0.8290899
   2.0423884        0.8308561
   2.0560010        0.8328188
   2.0697045        0.8387370
   2.0834992        0.8387370
   2.0973859        0.8403547
   2.1113651        0.8422159
   2.1254375        0.8442824
   2.1396037        0.8457517
   2.1538643        0.8468696
   2.1682200        0.8489095
   2.1826714        0.8527197
   2.1972190        0.8543787
   2.2118637        0.8578205
   2.2266059        0.8605429
   2.2414464        0.8643539
   2.2563858        0.8659845
   2.2714248        0.8634659
   2.2865640        0.8635825
   2.3018041        0.8511049
   2.3171458        0.8557888
   2.3325898        0.8663200
   2.3481367        0.8717564
   2.3637872        0.8819458
   2.3795420        0.8727706
   2.3954018        0.8689925
   2.4113674        0.8860458
   2.4274393        0.8856045
   2.4436184        0.8861474
   2.4599053        0.8866945
   2.4763007        0.8841604
   2.4928055        0.8836751
   2.5094202        0.8913475
   2.5261457        0.8924210
   2.5429826        0.8950009
   2.5599318        0.8939311
   2.5769939        0.8948227
   2.5941698        0.8941748
   2.6114601        0.8940550
   2.6288657        0.8948738
   2.6463873        0.8930723
   2.6640257        0.8924210
   2.6817816        0.8924210
   2.6996559        0.8924210
   2.7176493        0.8924210
   2.7357626        0.8924210
   2.7539967        0.8924210
   2.7723523        0.8943235
   2.7908302        0.8910504
   2.8094313        0.8906137
   2.8281564        0.8905266
   2.8470063        0.8905266
   2.8659818        0.8905266
   2.8850838        0.8921313
   2.9043131        0.8921009
   2.9236706        0.8928708
   2.9431570        0.8945619
   2.9627734        0.8955791
   2.9825205        0.8962862
   3.0023992        0.8978072
   3.0224105        0.8993682
   3.0425551        0.8993682
   3.0628339        0.9006628
   3.0832479        0.8990502
   3.1037980        0.8980674
   3.1244851        0.8964466
