# METIS entrance window (ZnSe), at ambient temperature
# received from Roy as METIS_CFO_entrance_window.csv on 25 May 2018
#
# wavelength     transmission       emissivity
#   [micron]  [dimensionless]  [dimensionless]
   1.0033284        0.2676554        0.0369851
   1.0100157        0.2830456        0.0368532
   1.0167475        0.3025679        0.0367217
   1.0235242        0.3246873        0.0365907
   1.0303461        0.3494537        0.0364601
   1.0372134        0.3782966        0.0363301
   1.0441265        0.4106329        0.0362005
   1.0510857        0.4461889        0.0360713
   1.0580913        0.4861207        0.0359426
   1.0651435        0.5283757        0.0358144
   1.0722428        0.5716809        0.0356866
   1.0793894        0.6152750        0.0355593
   1.0865836        0.6538929        0.0354325
   1.0938258        0.6861552        0.0353060
   1.1011162        0.7106742        0.0351801
   1.1084552        0.7216828        0.0350546
   1.1158432        0.7181568        0.0349295
   1.1232803        0.7048151        0.0348049
   1.1307671        0.6829316        0.0346807
   1.1383037        0.6527850        0.0345570
   1.1458906        0.6194922        0.0344337
   1.1535281        0.5858292        0.0343109
   1.1612164        0.5532559        0.0341885
   1.1689560        0.5230714        0.0340665
   1.1767472        0.4974088        0.0339450
   1.1845903        0.4750652        0.0338239
   1.1924857        0.4560287        0.0337032
   1.2004337        0.4404363        0.0335830
   1.2084347        0.4300350        0.0334632
   1.2164890        0.4228088        0.0333438
   1.2245970        0.4186209        0.0332248
   1.2327590        0.4175518        0.0331063
   1.2409754        0.4195853        0.0329882
   1.2492466        0.4245480        0.0328705
   1.2575730        0.4333303        0.0327532
   1.2659548        0.4455277        0.0326364
   1.2743925        0.4603457        0.0325200
   1.2828864        0.4779274        0.0324040
   1.2914369        0.4990235        0.0322884
   1.3000444        0.5231379        0.0321732
   1.3087093        0.5499991        0.0320584
   1.3174320        0.5800119        0.0319440
   1.3262128        0.6113658        0.0318301
   1.3350521        0.6436925        0.0317165
   1.3439503        0.6766160        0.0316033
   1.3529078        0.7091773        0.0314906
   1.3619251        0.7401602        0.0313783
   1.3710024        0.7688067        0.0312663
   1.3801402        0.7943086        0.0311548
   1.3893390        0.8145458        0.0310436
   1.3985990        0.8306184        0.0309329
   1.4079208        0.8417129        0.0308225
   1.4173047        0.8483828        0.0307126
   1.4267511        0.8513502        0.0306030
   1.4362605        0.8507479        0.0304938
   1.4458333        0.8476667        0.0303850
   1.4554699        0.8427181        0.0302766
   1.4651707        0.8368976        0.0301686
   1.4749362        0.8310383        0.0300610
   1.4847668        0.8251400        0.0299537
   1.4946628        0.8201349        0.0298469
   1.5046249        0.8161501        0.0297404
   1.5146533        0.8130693        0.0296343
   1.5247486        0.8120000        0.0295286
   1.5349112        0.8120000        0.0294232
   1.5451415        0.8130283        0.0293183
   1.5554400        0.8156320        0.0292137
   1.5658071        0.8193228        0.0291095
   1.5762433        0.8234973        0.0290056
   1.5867491        0.8283745        0.0289021
   1.5973249        0.8343949        0.0287990
   1.6079712        0.8399856        0.0286963
   1.6186884        0.8453442        0.0285939
   1.6294771        0.8507386        0.0284919
   1.6403377        0.8561351        0.0283902
   1.6512707        0.8603812        0.0282890
   1.6622765        0.8634553        0.0281880
   1.6733557        0.8656712        0.0280875
   1.6845088        0.8670000        0.0279873
   1.6957361        0.8670000        0.0278874
   1.7070383        0.8662962        0.0277879
   1.7184159        0.8651584        0.0276888
   1.7298693        0.8630261        0.0275900
   1.7413990        0.8595803        0.0274916
   1.7530055        0.8560983        0.0273935
   1.7646894        0.8525932        0.0272958
   1.7764512        0.8490646        0.0271984
   1.7882914        0.8455126        0.0271014
   1.8002105        0.8419368        0.0270047
   1.8122091        0.8385582        0.0269084
   1.8242876        0.8361425        0.0268124
   1.8364466        0.8337107        0.0267167
   1.8486866        0.8321314        0.0266214
   1.8610083        0.8310000        0.0265264
   1.8734120        0.8310000        0.0264318
   1.8858985        0.8310000        0.0263375
   1.8984681        0.8318468        0.0262435
   1.9111216        0.8332243        0.0261499
   1.9238593        0.8357719        0.0260566
   1.9366820        0.8383364        0.0259637
   1.9495901        0.8418770        0.0258710
   1.9625843        0.8457753        0.0257787
   1.9756651        0.8496995        0.0256868
   1.9888330        0.8536499        0.0255951
   2.0020887        0.8576266        0.0255038
   2.0154328        0.8616298        0.0254128
   2.0288658        0.8656598        0.0253222
   2.0423884        0.8697165        0.0252318
   2.0560010        0.8738003        0.0251418
   2.0697045        0.8769409        0.0250521
   2.0834992        0.8796999        0.0249628
   2.0973859        0.8817386        0.0248737
   2.1113651        0.8831365        0.0247850
   2.1254375        0.8845437        0.0246965
   2.1396037        0.8850000        0.0246084
   2.1538643        0.8850000        0.0245206
   2.1682200        0.8841780        0.0244332
   2.1826714        0.8837329        0.0243460
   2.1972190        0.8815562        0.0242591
   2.2118637        0.8796273        0.0241726
   2.2266059        0.8773394        0.0240864
   2.2414464        0.8747107        0.0240004
   2.2563858        0.8717228        0.0239148
   2.2714248        0.8687151        0.0238295
   2.2865640        0.8656872        0.0237445
   2.3018041        0.8626391        0.0236598
   2.3171458        0.8595708        0.0235754
   2.3325898        0.8564820        0.0234913
   2.3481367        0.8533726        0.0234075
   2.3637872        0.8512426        0.0233239
   2.3795420        0.8490458        0.0232407
   2.3954018        0.8469197        0.0231578
   2.4113674        0.8458633        0.0230752
   2.4274393        0.8442561        0.0229929
   2.4436184        0.8440000        0.0229109
   2.4599053        0.8430095        0.0228291
   2.4763007        0.8440000        0.0227477
   2.4928055        0.8442805        0.0226665
   2.5094202        0.8450000        0.0225857
   2.5261457        0.8466146        0.0225051
   2.5429826        0.8482983        0.0224248
   2.5599318        0.8509864        0.0223448
   2.5769939        0.8533988        0.0222651
   2.5941698        0.8564170        0.0221857
   2.6114601        0.8592921        0.0221065
   2.6288657        0.8627731        0.0220276
   2.6463873        0.8669161        0.0219491
   2.6640257        0.8708051        0.0218708
   2.6817816        0.8745345        0.0217927
   2.6996559        0.8789312        0.0217150
   2.7176493        0.8832948        0.0216993
   2.7357626        0.8871525        0.0216848
   2.7539967        0.8917993        0.0216703
   2.7723523        0.8954705        0.0216558
   2.7908302        0.8992491        0.0216413
   2.8094313        0.9038863        0.0216269
   2.8281564        0.9068157        0.0216124
   2.8470063        0.9104013        0.0215980
   2.8659818        0.9135982        0.0215835
   2.8850838        0.9165084        0.0215691
   2.9043131        0.9194313        0.0215547
   2.9236706        0.9213670        0.0215403
   2.9431570        0.9233157        0.0215259
   2.9627734        0.9252773        0.0215115
   2.9825205        0.9262520        0.0214971
   3.0023992        0.9272399        0.0214828
   3.0224105        0.9280000        0.0214684
   3.0425551        0.9282555        0.0214541
   3.0628339        0.9280000        0.0214397
   3.0832479        0.9280000        0.0214254
   3.1037980        0.9276202        0.0214111
   3.1244851        0.9265515        0.0213968
   3.1453100        0.9254690        0.0213825
   3.1662737        0.9243727        0.0213682
   3.1873772        0.9230000        0.0213539
   3.2086213        0.9211379        0.0213396
   3.2300070        0.9190000        0.0213254
   3.2515352        0.9178465        0.0213111
   3.2732070        0.9156793        0.0212969
   3.2950231        0.9134977        0.0212827
   3.3169847        0.9113015        0.0212684
   3.3390927        0.9100000        0.0212542
   3.3613480        0.9078652        0.0212400
   3.3837516        0.9056248        0.0212258
   3.4063046        0.9040000        0.0212116
   3.4290079        0.9020992        0.0211975
   3.4518625        0.9008138        0.0211833
   3.4748694        0.8985131        0.0211691
   3.4980297        0.8971970        0.0211550
   3.5213443        0.8960000        0.0211409
   3.5448143        0.8950000        0.0211267
   3.5684408        0.8940000        0.0211126
   3.5922247        0.8930000        0.0210985
   3.6161671        0.8923833        0.0210844
   3.6402692        0.8920000        0.0210703
   3.6645318        0.8920000        0.0210562
   3.6889562        0.8910000        0.0210422
   3.7135434        0.8910000        0.0210281
   3.7382944        0.8920000        0.0210141
   3.7632105        0.8920000        0.0210000
   3.7882925        0.8920000        0.0209860
   3.8135418        0.8930000        0.0209795
   3.8389594        0.8940000        0.0209795
   3.8645463        0.8950000        0.0209795
   3.8903038        0.8960000        0.0209795
   3.9162330        0.8970000        0.0209795
   3.9423350        0.8982335        0.0209795
   3.9686109        0.8998611        0.0209795
   3.9950620        0.9015062        0.0209795
   4.0216894        0.9030000        0.0209795
   4.0484943        0.9048494        0.0209795
   4.0754778        0.9060000        0.0209795
   4.1026412        0.9080000        0.0209795
   4.1299856        0.9099986        0.0209795
   4.1575122        0.9117512        0.0209795
   4.1852224        0.9135222        0.0209795
   4.2131172        0.9153117        0.0209795
   4.2411979        0.9171198        0.0209795
   4.2694659        0.9190000        0.0209795
   4.2979222        0.9207922        0.0209795
   4.3265681        0.9226568        0.0209795
   4.3554050        0.9245405        0.0209795
   4.3844342        0.9264434        0.0209795
   4.4136567        0.9280000        0.0209795
   4.4430741        0.9293074        0.0209795
   4.4726875        0.9312688        0.0209795
   4.5024983        0.9330000        0.0209795
   4.5325078        0.9340000        0.0209795
   4.5627173        0.9352717        0.0209795
   4.5931282        0.9363128        0.0209795
   4.6237417        0.9373742        0.0209795
   4.6545593        0.9384560        0.0209795
   4.6855823        0.9395582        0.0209795
   4.7168121        0.9400000        0.0209795
   4.7482500        0.9410000        0.0209795
   4.7798974        0.9419897        0.0209795
   4.8117558        0.9420000        0.0209795
   4.8438265        0.9423826        0.0209795
   4.8761110        0.9430000        0.0209795
   4.9086106        0.9430000        0.0209795
   4.9413269        0.9430000        0.0209795
   4.9742612        0.9430000        0.0209795
   5.0074151        0.9430000        0.0209795
   5.0407899        0.9430000        0.0209795
   5.0743871        0.9430000        0.0209795
   5.1082083        0.9420000        0.0209795
   5.1422549        0.9420000        0.0209795
   5.1765284        0.9413471        0.0209795
   5.2110303        0.9410000        0.0209795
   5.2457623        0.9404238        0.0209795
   5.2807257        0.9400000        0.0209815
   5.3159221        0.9390000        0.0209838
   5.3513531        0.9380000        0.0209861
   5.3870203        0.9380000        0.0209884
   5.4229252        0.9370000        0.0209907
   5.4590694        0.9360000        0.0209930
   5.4954545        0.9350000        0.0209953
   5.5320821        0.9347918        0.0209976
   5.5689539        0.9340000        0.0209999
   5.6060714        0.9330000        0.0210022
   5.6434363        0.9320000        0.0210045
   5.6810502        0.9310000        0.0210068
   5.7189148        0.9310000        0.0210091
   5.7570318        0.9300000        0.0210114
   5.7954029        0.9290000        0.0210137
   5.8340297        0.9280000        0.0210160
   5.8729139        0.9280000        0.0210183
   5.9120574        0.9270000        0.0210206
   5.9514617        0.9260000        0.0210229
   5.9911286        0.9260000        0.0210252
   6.0310599        0.9250000        0.0210275
   6.0712574        0.9250000        0.0210299
   6.1117228        0.9240000        0.0210322
   6.1524579        0.9240000        0.0210345
   6.1934645        0.9240000        0.0210368
   6.2347444        0.9230000        0.0210391
   6.2762995        0.9230000        0.0210414
   6.3181315        0.9230000        0.0210437
   6.3602423        0.9230000        0.0210460
   6.4026338        0.9230000        0.0210483
   6.4453078        0.9230000        0.0210506
   6.4882663        0.9230000        0.0210529
   6.5315111        0.9230000        0.0210552
   6.5750441        0.9230000        0.0210575
   6.6188673        0.9230000        0.0210599
   6.6629825        0.9240000        0.0210622
   6.7073918        0.9240000        0.0210645
   6.7520971        0.9240000        0.0210668
   6.7971003        0.9250000        0.0210691
   6.8424035        0.9250000        0.0210714
   6.8880086        0.9260000        0.0210737
   6.9339177        0.9260000        0.0210760
   6.9801328        0.9270000        0.0210783
   7.0266559        0.9276656        0.0210806
   7.0734891        0.9280000        0.0210830
   7.1206345        0.9290000        0.0210853
   7.1680941        0.9300000        0.0210876
   7.2158699        0.9305870        0.0210899
   7.2639643        0.9313964        0.0210922
   7.3123791        0.9320000        0.0210945
   7.3611167        0.9330000        0.0210968
   7.4101791        0.9340000        0.0210991
   7.4595685        0.9350000        0.0211015
   7.5092871        0.9360000        0.0211038
   7.5593371        0.9370000        0.0211061
   7.6097206        0.9380000        0.0211084
   7.6604400        0.9390440        0.0211107
   7.7114974        0.9401497        0.0211130
   7.7628951        0.9412895        0.0211153
   7.8146354        0.9430000        0.0211177
   7.8667205        0.9440000        0.0211200
   7.9191528        0.9450000        0.0211223
   7.9719346        0.9460000        0.0211246
   8.0250681        0.9470000        0.0211269
   8.0785558        0.9480000        0.0211292
   8.1324000        0.9490000        0.0211316
   8.1866031        0.9500000        0.0211339
   8.2411674        0.9511167        0.0211362
   8.2960954        0.9526095        0.0211385
   8.3513895        0.9531389        0.0211408
   8.4070522        0.9547052        0.0211432
   8.4630858        0.9553085        0.0211455
   8.5194929        0.9560000        0.0211478
   8.5762760        0.9570000        0.0211501
   8.6334375        0.9580000        0.0211524
   8.6909800        0.9590000        0.0211547
   8.7489061        0.9600000        0.0211571
   8.8072182        0.9610000        0.0211594
   8.8659190        0.9620000        0.0211617
   8.9250110        0.9620000        0.0211640
   8.9844969        0.9630000        0.0211663
   9.0443792        0.9640000        0.0211687
   9.1046607        0.9640000        0.0211710
   9.1653439        0.9650000        0.0211733
   9.2264316        0.9650000        0.0211756
   9.2879265        0.9660000        0.0211780
   9.3498312        0.9660000        0.0211803
   9.4121486        0.9660000        0.0211826
   9.4748813        0.9670000        0.0211849
   9.5380321        0.9670000        0.0211872
   9.6016038        0.9670000        0.0211896
   9.6655992        0.9670000        0.0211919
   9.7300211        0.9670000        0.0211942
   9.7948725        0.9670000        0.0211965
   9.8601560        0.9670000        0.0211989
   9.9258747        0.9670000        0.0212012
   9.9920314        0.9670000        0.0212035
  10.0586291        0.9670000        0.0212058
  10.1256706        0.9660000        0.0212082
  10.1931590        0.9650000        0.0212105
  10.2610971        0.9640000        0.0212128
  10.3294881        0.9630512        0.0212151
  10.3983350        0.9620000        0.0212175
  10.4676407        0.9610000        0.0212198
  10.5374083        0.9600000        0.0212221
  10.6076409        0.9580000        0.0212948
  10.6783416        0.9570000        0.0219569
  10.7495136        0.9550000        0.0226396
  10.8211599        0.9538840        0.0233435
  10.8932838        0.9520000        0.0240693
  10.9658883        0.9500000        0.0248177
  11.0389768        0.9490000        0.0255894
  11.1125524        0.9470000        0.0263850
  11.1866184        0.9453381        0.0272054
  11.2611781        0.9440000        0.0280512
  11.3362347        0.9423765        0.0289234
  11.4117916        0.9410000        0.0298227
  11.4878520        0.9400000        0.0307500
  11.5644194        0.9380000        0.0317061
  11.6414971        0.9360000        0.0326919
  11.7190886        0.9350000        0.0337084
  11.7971972        0.9322803        0.0347565
  11.8758264        0.9304174        0.0358371
  11.9549797        0.9280000        0.0369514
  12.0346606        0.9260000        0.0381003
  12.1148725        0.9240000        0.0392849
  12.1956190        0.9220000        0.0405064
  12.2769038        0.9200000        0.0417659
  12.3587303        0.9181269        0.0430645
  12.4411021        0.9170000        0.0444034
  12.5240230        0.9155977        0.0457841
  12.6074966        0.9130000        0.0472076
  12.6915265        0.9110000        0.0486754
  12.7761165        0.9090000        0.0501888
  12.8612703        0.9070000        0.0517493
  12.9469916        0.9050000        0.0533584
  13.0332843        0.9026716        0.0550174
  13.1201521        0.9000000        0.0567280
  13.2075989        0.8972401        0.0584918
  13.2956286        0.8940000        0.0603105
  13.3842450        0.8910000        0.0621857
  13.4734520        0.8876548        0.0641192
  13.5632536        0.8840000        0.0661128
  13.6536537        0.8810000        0.0681685
  13.7446563        0.8785344        0.0702880
  13.8362655        0.8723735        0.0724734
  13.9284852        0.8603030        0.0747268
  14.0213196        0.8488681        0.0770502
  14.1147728        0.8365227        0.0794459
  14.2088488        0.8241151        0.0819161
  14.3035519        0.8126448        0.0850261
  14.3988862        0.8011114        0.1047138
  14.4948558        0.7895144        0.1289602
  14.5914651        0.7778535        0.1607905
  14.6887184        0.7671281        0.2006168
  14.7866198        0.7563380        0.2382864
  14.8851737        0.7454826        0.2812150
  14.9843845        0.7355615        0.3061679
  15.0842566        0.7255744        0.3286307
  15.1847943        0.7145205        0.3527414
  15.2860021        0.7053998        0.3881255
  15.3878845        0.6952116        0.4289412
  15.4904459        0.6859554        0.4733952
  15.5936909        0.6766309        0.5223595
  15.6976240        0.6672376        0.5513632
  15.8022499        0.6577750        0.5803051
  15.9075731        0.6492427        0.6115801
  16.0135983        0.6406402        0.6557527
  16.1203301        0.6319671        0.6940432
  16.2277733        0.6121131        0.6949943
  16.3359327        0.5600337        0.6959466
  16.4448129        0.5130751        0.6916200
  16.5544188        0.4702322        0.6798629
  16.6647553        0.4310979        0.6683057
  16.7758271        0.3952520        0.6787734
  16.8876393        0.3627080        0.6999946
  17.0001967        0.3339410        0.7231885
  17.1135043        0.3062993        0.7473185
  17.2275671        0.2824865        0.7680997
  17.3423901        0.2595220        0.7761671
  17.4579785        0.2392021        0.7843192
  17.5743372        0.2201325        0.7885493
  17.6914715        0.2028529        0.7905258
  17.8093865        0.1871226        0.7925073
  17.9280874        0.1731913        0.7949630
  18.0475795        0.1602420        0.7989516
  18.1678680        0.1482132        0.8029603
  18.2889582        0.1272085        0.8182438
  18.4108555        0.1069144        0.8380138
  18.5335652        0.0896436        0.8569350
  18.6570929        0.0752907        0.8726792
  18.7814438        0.0638557        0.8887126
  18.9066236        0.0533376        0.9053092
  19.0326376        0.0437363        0.9271435
  19.1594916        0.0310512        0.9495043
  19.2871911        0.0182815        0.9639933
