# BrGamma from Ric - Feb 2018 
# Wavelength(micron)  Throughput
     0.780000  0.000100000
      2.07600  0.000100000
      2.07700  0.000100006
      2.07800  0.000100204
      2.07900  0.000100402
      2.08000  0.000100600
      2.08100  0.000100798
      2.08200  0.000100996
      2.08300  0.000101194
      2.08400  0.000101392
      2.08500  0.000101590
      2.08600  0.000101788
      2.08700  0.000101986
      2.08800  0.000102184
      2.08900  0.000102382
      2.09000  0.000102580
      2.09100  0.000102778
      2.09200  0.000102976
      2.09300  0.000103174
      2.09400  0.000103372
      2.09500  0.000103570
      2.09600  0.000103768
      2.09700  0.000103966
      2.09800  0.000104164
      2.09900  0.000104362
      2.10000  0.000104560
      2.10100  0.000104758
      2.10200  0.000104956
      2.10300  0.000105154
      2.10400  0.000109341
      2.10500  0.000117094
      2.10600  0.000124848
      2.10700  0.000132602
      2.10800  0.000140356
      2.10900  0.000161902
      2.11000  0.000185358
      2.11100  0.000208814
      2.11200  0.000232269
      2.11300  0.000255725
      2.11400  0.000279181
      2.11500  0.000302637
      2.11600  0.000326092
      2.11700  0.000349548
      2.11800  0.000373004
      2.11900  0.000396459
      2.12000  0.000419915
      2.12100  0.000443371
      2.12200  0.000509535
      2.12300  0.000642462
      2.12400  0.000775389
      2.12500  0.000908316
      2.12600   0.00104124
      2.12700   0.00117417
      2.12800   0.00130710
      2.12900   0.00144002
      2.13000   0.00157295
      2.13100   0.00170588
      2.13200   0.00183880
      2.13300   0.00197173
      2.13400   0.00210466
      2.13500   0.00248783
      2.13600   0.00328591
      2.13700   0.00408400
      2.13800   0.00488208
      2.13900   0.00568016
      2.14000   0.00647824
      2.14100   0.00727633
      2.14200   0.00807441
      2.14300   0.00887249
      2.14400   0.00967058
      2.14500    0.0142140
      2.14600    0.0194041
      2.14700    0.0245941
      2.14800    0.0297841
      2.14900    0.0349741
      2.15000    0.0401642
      2.15100    0.0453542
      2.15200    0.0550393
      2.15300    0.0762187
      2.15400    0.0973980
      2.15500     0.127987
      2.15600     0.178714
      2.15700     0.258535
      2.15800     0.360348
      2.15900     0.501454
      2.16000     0.702167
      2.16100     0.787471
      2.16200     0.811402
      2.16300     0.818875
      2.16400     0.818583
      2.16500     0.810998
      2.16600     0.799009
      2.16700     0.787499
      2.16800     0.780717
      2.16900     0.781939
      2.17000     0.790175
      2.17100     0.802395
      2.17200     0.813536
      2.17300     0.819596
      2.17400     0.817450
      2.17500     0.808601
      2.17600     0.796217
      2.17700     0.785493
      2.17800     0.780188
      2.17900     0.783244
      2.18000     0.792669
      2.18100     0.805146
      2.18200     0.815406
      2.18300     0.819931
      2.18400     0.815979
      2.18500     0.803996
      2.18600     0.755447
      2.18700     0.618429
      2.18800     0.456776
      2.18900     0.313840
      2.19000     0.222484
      2.19100     0.156146
      2.19200     0.112913
      2.19300    0.0908078
      2.19400    0.0724643
      2.19500    0.0599721
      2.19600    0.0479281
      2.19700    0.0428991
      2.19800    0.0378700
      2.19900    0.0328409
      2.20000    0.0278118
      2.20100    0.0227827
      2.20200    0.0177536
      2.20300    0.0127246
      2.20400    0.0101420
      2.20500   0.00924703
      2.20600   0.00835205
      2.20700   0.00745706
      2.20800   0.00656208
      2.20900   0.00566709
      2.21000   0.00477211
      2.21100   0.00387712
      2.21200   0.00298214
      2.21300   0.00229422
      2.21400   0.00217738
      2.21500   0.00206054
      2.21600   0.00194369
      2.21700   0.00182685
      2.21800   0.00171001
      2.21900   0.00159317
      2.22000   0.00147632
      2.22100   0.00135948
      2.22200   0.00124264
      2.22300   0.00112579
      2.22400   0.00100895
      2.22500  0.000892107
      2.22600  0.000775264
      2.22700  0.000658421
      2.22800  0.000541578
      2.22900  0.000484218
      2.23000  0.000459629
      2.23100  0.000435040
      2.23200  0.000410451
      2.23300  0.000385862
      2.23400  0.000361272
      2.23500  0.000336683
      2.23600  0.000312094
      2.23700  0.000287505
      2.23800  0.000262916
      2.23900  0.000238327
      2.24000  0.000221026
      2.24100  0.000211769
      2.24200  0.000202513
      2.24300  0.000193256
      2.24400  0.000183999
      2.24500  0.000174742
      2.24600  0.000165485
      2.24700  0.000156229
      2.24800  0.000146972
      2.24900  0.000137715
      2.25000  0.000132231
      2.25100  0.000131326
      2.25200  0.000130422
      2.25300  0.000129518
      2.25400  0.000128613
      2.25500  0.000127709
      2.25600  0.000126804
      2.25700  0.000125900
      2.25800  0.000124996
      2.25900  0.000124091
      2.26000  0.000123187
      2.26100  0.000122283
      2.26200  0.000121378
      2.26300  0.000120474
      2.26400  0.000119569
      2.26500  0.000118665
      2.26600  0.000117761
      2.26700  0.000116856
      2.26800  0.000115952
      2.26900  0.000115047
      2.27000  0.000114143
      2.27100  0.000113239
      2.27200  0.000112334
      2.27300  0.000111430
      2.27400  0.000110526
      2.27500  0.000109621
      2.27600  0.000108717
      2.27700  0.000107812
      2.27800  0.000106908
      2.27900  0.000106004
      2.28000  0.000105099
      2.28100  0.000104195
      2.28200  0.000103291
      2.28300  0.000102386
      2.28400  0.000101482
      2.28500  0.000100577
      2.28600  0.000100000
      2.28700  0.000100000
      2.50000  0.000100000
