# H from Ric - Feb 2018 
# Wavelength(micron)  Throughput
     0.780000  0.000100000
      1.43100  0.000100000
      1.43200  0.000100000
      1.43300  0.000100000
      1.43400  0.000100186
      1.43500  0.000100527
      1.43600  0.000100867
      1.43700  0.000101208
      1.43800  0.000101549
      1.43900  0.000101889
      1.44000  0.000102230
      1.44100  0.000102571
      1.44200  0.000102912
      1.44300  0.000103252
      1.44400  0.000103593
      1.44500  0.000103934
      1.44600  0.000104274
      1.44700  0.000104615
      1.44800  0.000104956
      1.44900  0.000105297
      1.45000  0.000105637
      1.45100  0.000105978
      1.45200  0.000109627
      1.45300  0.000122968
      1.45400  0.000136309
      1.45500  0.000150879
      1.45600  0.000191238
      1.45700  0.000231596
      1.45800  0.000271954
      1.45900  0.000312312
      1.46000  0.000352670
      1.46100  0.000393029
      1.46200  0.000433387
      1.46300  0.000473745
      1.46400  0.000514103
      1.46500  0.000693175
      1.46600  0.000921888
      1.46700   0.00115060
      1.46800   0.00137931
      1.46900   0.00160803
      1.47000   0.00183674
      1.47100   0.00206545
      1.47200   0.00229416
      1.47300   0.00252288
      1.47400   0.00361523
      1.47500   0.00498839
      1.47600   0.00636154
      1.47700   0.00773470
      1.47800   0.00910786
      1.47900    0.0104810
      1.48000    0.0132278
      1.48100    0.0221582
      1.48200    0.0310887
      1.48300    0.0400191
      1.48400    0.0489495
      1.48500    0.0595924
      1.48600    0.0931171
      1.48700     0.129557
      1.48800     0.212401
      1.48900     0.357468
      1.49000     0.580055
      1.49100     0.879729
      1.49200     0.939285
      1.49300     0.942005
      1.49400     0.944724
      1.49500     0.947444
      1.49600     0.950163
      1.49700     0.952883
      1.49800     0.955602
      1.49900     0.957998
      1.50000     0.958894
      1.50100     0.959790
      1.50200     0.960686
      1.50300     0.961582
      1.50400     0.962478
      1.50500     0.963374
      1.50600     0.964270
      1.50700     0.964906
      1.50800     0.965487
      1.50900     0.966069
      1.51000     0.966651
      1.51100     0.967233
      1.51200     0.967815
      1.51300     0.968397
      1.51400     0.968784
      1.51500     0.968958
      1.51600     0.969133
      1.51700     0.969308
      1.51800     0.969482
      1.51900     0.969657
      1.52000     0.969832
      1.52100     0.969950
      1.52200     0.969690
      1.52300     0.969429
      1.52400     0.969169
      1.52500     0.968908
      1.52600     0.968648
      1.52700     0.968387
      1.52800     0.968127
      1.52900     0.967560
