# I long from Ric - Feb 2018 
# Wavelength(micron)  Throughput
     0.500000  0.000100000
     0.770000  0.000100000
     0.780000  0.000119633
     0.781000  0.000144480
     0.782000  0.000210409
     0.783000  0.000285576
     0.784000  0.000360743
     0.785000  0.000435910
     0.786000  0.000511077
     0.787000  0.000873290
     0.788000   0.00129927
     0.789000   0.00172525
     0.790000   0.00215122
     0.791000   0.00257720
     0.792000   0.00512573
     0.793000   0.00768324
     0.794000    0.0102408
     0.795000    0.0193674
     0.796000    0.0359997
     0.797000    0.0526320
     0.798000     0.103140
     0.799000     0.231296
     0.800000     0.580047
     0.801000     0.939085
     0.802000     0.944981
     0.803000     0.950877
     0.804000     0.956772
     0.805000     0.959430
     0.806000     0.961372
     0.807000     0.963315
     0.808000     0.964965
     0.809000     0.966226
     0.810000     0.967488
     0.811000     0.968715
     0.812000     0.969093
     0.813000     0.969472
     0.814000     0.969851
     0.815000     0.969618
     0.816000     0.969053
     0.817000     0.968488
     0.818000     0.967703
     0.819000     0.966285
     0.820000     0.964868
     0.821000     0.963450
     0.822000     0.961489
     0.823000     0.959445
     0.824000     0.957401
     0.825000     0.955215
     0.826000     0.952872
     0.827000     0.950529
     0.828000     0.948193
     0.829000     0.945926
     0.830000     0.943659
     0.831000     0.941392
     0.832000     0.939431
     0.833000     0.937603
     0.834000     0.935775
     0.835000     0.934171
     0.836000     0.933075
     0.837000     0.931978
     0.838000     0.930881
     0.839000     0.930616
     0.840000     0.930426
     0.841000     0.930236
     0.842000     0.930539
     0.843000     0.931286
     0.844000     0.932034
     0.845000     0.932892
     0.846000     0.934457
     0.847000     0.936022
     0.848000     0.937587
     0.849000     0.939575
     0.850000     0.941708
     0.851000     0.943840
     0.852000     0.946052
     0.853000     0.948410
     0.854000     0.950768
     0.855000     0.953126
     0.856000     0.955338
     0.857000     0.957545
     0.858000     0.959752
     0.859000     0.961668
     0.860000     0.963370
     0.861000     0.965072
     0.862000     0.966631
     0.863000     0.967556
     0.864000     0.968481
     0.865000     0.969406
     0.866000     0.969596
     0.867000     0.969596
     0.868000     0.969596
     0.869000     0.969222
     0.870000     0.968297
     0.871000     0.967372
     0.872000     0.966436
     0.873000     0.964734
     0.874000     0.963032
     0.875000     0.961330
     0.876000     0.959313
     0.877000     0.957106
     0.878000     0.954899
     0.879000     0.952657
     0.880000     0.950299
     0.881000     0.947941
     0.882000     0.945583
     0.883000     0.943416
     0.884000     0.941283
     0.885000     0.939151
     0.886000     0.937276
     0.887000     0.935711
     0.888000     0.934146
     0.889000     0.932633
     0.890000     0.931885
     0.891000     0.931138
     0.892000     0.930390
     0.893000     0.930274
     0.894000     0.930463
     0.895000     0.930653
     0.896000     0.931099
     0.897000     0.932196
     0.898000     0.933293
     0.899000     0.934390
     0.900000     0.936139
     0.901000     0.937967
     0.902000     0.939795
     0.903000     0.941843
     0.904000     0.944110
     0.905000     0.946377
     0.906000     0.948652
     0.907000     0.950995
     0.908000     0.953338
     0.909000     0.955681
     0.910000     0.957808
     0.911000     0.959852
     0.912000     0.961895
     0.913000     0.963732
     0.914000     0.965150
     0.915000     0.966567
     0.916000     0.967985
     0.917000     0.968600
     0.918000     0.969165
     0.919000     0.969730
     0.920000     0.969775
     0.921000     0.969397
     0.922000     0.969018
     0.923000     0.968498
     0.924000     0.967237
     0.925000     0.965975
     0.926000     0.964714
     0.927000     0.962928
     0.928000     0.960986
     0.929000     0.959044
     0.930000     0.955795
     0.931000     0.950413
     0.932000     0.945031
     0.933000     0.939649
     0.934000     0.600957
     0.935000     0.252442
     0.936000     0.121345
     0.937000    0.0737649
     0.938000    0.0499125
     0.939000    0.0359233
     0.940000    0.0219342
     0.941000    0.0118159
     0.942000   0.00932634
     0.943000   0.00683682
     0.944000   0.00434729
     0.945000   0.00262706
     0.946000   0.00230205
     0.947000   0.00197705
     0.948000   0.00165204
     0.949000   0.00132704
     0.950000   0.00100203
     0.951000  0.000677027
     0.952000  0.000528142
     0.953000  0.000459745
     0.954000  0.000391348
     0.955000  0.000322951
     0.956000  0.000254554
     0.957000  0.000225307
     0.958000  0.000199557
     0.959000  0.000173808
     0.960000  0.000148058
     0.961000  0.000137152
     0.962000  0.000134636
     0.963000  0.000132121
     0.964000  0.000129605
     0.965000  0.000127089
     0.966000  0.000124574
     0.967000  0.000122058
     0.968000  0.000119543
     0.969000  0.000117027
     0.970000  0.000114511
     0.971000  0.000111996
     0.972000  0.000109480
     0.973000  0.000106965
     0.974000  0.000104449
     0.975000  0.000101933
     0.976000  0.000100000
      2.50000  0.000100000
