# Response curve for the K Bessel filter as defined in
# Bessel & Brett (1988, PASP, 100, 1134)
#  
# Wavelength(micron)    Throughput
    1.940                  0.000
    1.960                  0.122
    1.980                  0.204
    2.000                  0.306
    2.020                  0.561
    2.040                  0.755
    2.060                  0.561
    2.080                  0.786
    2.100                  0.867
    2.120                  0.918
    2.140                  0.959
    2.160                  0.959
    2.180                  0.969
    2.200                  0.959
    2.220                  0.980
    2.240                  1.000
    2.260                  0.990
    2.280                  0.980
    2.300                  0.929
    2.320                  0.898
    2.340                  0.857
    2.380                  0.765
    2.400                  0.653
    2.440                  0.102
    2.480                  0.000
