#lambda lambda_nm X1.0 X1.1 X1.2 X1.3 X1.5 X1.7 X2.0 X2.5 X3.0
0.3 300.0 0.0133379 0.00866159 0.00562495 0.00556032 0.0025016 0.0011258 0.000478755 9.43505e-05 1.95651e-05
0.30030015 300.30015 0.0362322 0.0260019 0.0186605 0.0135799 0.0070092 0.00361866 0.00138309 0.000280665 5.97962e-05
0.3006006 300.6006 0.0392438 0.0283889 0.0205369 0.0150577 0.00789651 0.00414203 0.00161967 0.000341349 7.54232e-05
0.300901351 300.901351 0.0442393 0.0323885 0.0237127 0.0175899 0.00944764 0.00507553 0.00205523 0.000458899 0.00010722
0.301202403 301.202403 0.0506869 0.0376172 0.027918 0.0209741 0.0115744 0.00638866 0.00268924 0.000640341 0.000159156
0.301503756 301.503756 0.0556979 0.0417277 0.031262 0.0236917 0.0133215 0.00749202 0.00323878 0.000805971 0.000208998
0.30180541099999997 301.805411 0.0585115 0.0440521 0.0331664 0.0252454 0.0143345 0.00814089 0.00356853 0.000908745 0.00024091
0.302107367 302.107367 0.0615038 0.0465364 0.035212 0.0269346 0.0154467 0.00886037 0.00394095 0.00102797 0.000278932
0.302409626 302.409626 0.0665991 0.0507944 0.038741 0.0298617 0.0173994 0.01014 0.00461493 0.0012506 0.000352061
0.30271218699999997 302.712187 0.0741235 0.0571416 0.044051 0.0343018 0.0204173 0.0121551 0.00570521 0.00162683 0.000481069
0.30301504999999995 303.01505 0.0821711 0.0640018 0.0498507 0.0391965 0.0238143 0.0144714 0.00699583 0.00209473 0.000649273
0.303318217 303.318217 0.0888366 0.0697352 0.0547417 0.0433522 0.0267507 0.0165096 0.00815957 0.00253405 0.000813462
0.30362168700000003 303.621687 0.093191 0.0735042 0.0579771 0.046122 0.0287323 0.0179023 0.00896883 0.00284911 0.000934885
0.30392546 303.92546 0.0952413 0.0752851 0.0595112 0.0474325 0.0296763 0.0185703 0.00936193 0.00300511 0.000995743
0.30422953799999997 304.229538 0.0997346 0.0792011 0.062896 0.0503634 0.031802 0.0200848 0.0102629 0.00336873 0.00114077
0.30453391900000004 304.533919 0.107133 0.0856869 0.0685352 0.0552493 0.0353877 0.0226698 0.0118231 0.00401489 0.00140465
0.304838606 304.838606 0.117425 0.0947841 0.0765099 0.0622211 0.0405885 0.0264811 0.0141806 0.00503103 0.00183611
0.305143597 305.143597 0.128312 0.104494 0.0850993 0.0697862 0.0463341 0.0307678 0.0168987 0.0062522 0.00237598
0.305448893 305.448893 0.135691 0.111124 0.0910057 0.0750181 0.0503648 0.0338183 0.0188707 0.00716723 0.0027939
0.305754495 305.754495 0.138449 0.11361 0.0932293 0.0769949 0.0518992 0.0349883 0.019637 0.00753208 0.0029627
