## Created from E-MCD-FPA-572089EB.uda
## Oliver Czoske, 2017-06-28
## Changes:
##     2017-08-12: id changed to conform with spectroscopy report
## MICADO H4RG-15 FPA
   id   x_cen  y_cen    xhw    yhw  x_len  y_len  pixsize  angle    gain
#          mm     mm     mm     mm    pix    pix       mm    deg  e-/ADU
    1  -63.84  63.84  30.72  30.72   4096   4096    0.015    0.0     1.0
    2    0.00  63.84  30.72  30.72   4096   4096    0.015    0.0     1.0
    3   63.84  63.84  30.72  30.72   4096   4096    0.015    0.0     1.0
    4  +63.84   0.00  30.72  30.72   4096   4096    0.015    0.0     1.0
    5    0.00   0.00  30.72  30.72   4096   4096    0.015    0.0     1.0
    6  -79.50   0.00  30.72  30.72   4096   4096    0.015    0.0     1.0
    7  -63.84 -63.84  30.72  30.72   4096   4096    0.015    0.0     1.0
    8    0.00 -63.84  30.72  30.72   4096   4096    0.015    0.0     1.0
    9   63.84 -63.84  30.72  30.72   4096   4096    0.015    0.0     1.0
