# J from Ric - Feb 2018 
# Wavelength(micron)  Throughput
      0.30000  0.000100000
      1.10600  0.000100000
      1.10700  0.000100284
      1.10800  0.000100725
      1.10900  0.000101167
      1.11000  0.000101608
      1.11100  0.000102049
      1.11200  0.000102491
      1.11300  0.000102932
      1.11400  0.000103374
      1.11500  0.000103815
      1.11600  0.000104257
      1.11700  0.000104698
      1.11800  0.000105140
      1.11900  0.000105581
      1.12000  0.000106022
      1.12100  0.000115313
      1.12200  0.000132597
      1.12300  0.000151582
      1.12400  0.000203873
      1.12500  0.000256163
      1.12600  0.000308454
      1.12700  0.000360745
      1.12800  0.000413035
      1.12900  0.000465326
      1.13000  0.000517616
      1.13100  0.000780703
      1.13200   0.00107704
      1.13300   0.00137337
      1.13400   0.00166970
      1.13500   0.00196603
      1.13600   0.00226237
      1.13700   0.00255870
      1.13800   0.00423630
      1.13900   0.00601544
      1.14000   0.00779458
      1.14100   0.00957373
      1.14200    0.0113529
      1.14300    0.0215379
      1.14400    0.0331082
      1.14500    0.0446784
      1.14600    0.0571225
      1.14700    0.0972385
      1.14800     0.160392
      1.14900     0.309148
      1.15000     0.580084
      1.15100     0.917081
      1.15200     0.941349
      1.15300     0.945400
      1.15400     0.949451
      1.15500     0.953501
      1.15600     0.957552
      1.15700     0.959079
      1.15800     0.960414
      1.15900     0.961748
      1.16000     0.963083
      1.16100     0.964417
      1.16200     0.965286
      1.16300     0.966153
      1.16400     0.967019
      1.16500     0.967886
      1.16600     0.968716
      1.16700     0.968976
      1.16800     0.969236
      1.16900     0.969496
      1.17000     0.969756
      1.17100     0.969935
      1.17200     0.969547
      1.17300     0.969159
      1.17400     0.968771
      1.17500     0.968383
      1.17600     0.967882
      1.17700     0.966908
      1.17800     0.965934
      1.17900     0.964960
      1.18000     0.963986
      1.18100     0.962901
      1.18200     0.961496
      1.18300     0.960092
      1.18400     0.958688
      1.18500     0.957284
      1.18600     0.955813
      1.18700     0.954203
      1.18800     0.952594
      1.18900     0.950984
      1.19000     0.949374
      1.19100     0.947785
      1.19200     0.946227
      1.19300     0.944670
      1.19400     0.943112
      1.19500     0.941555
      1.19600     0.940135
      1.19700     0.938879
      1.19800     0.937622
      1.19900     0.936366
      1.20000     0.935110
      1.20100     0.934116
      1.20200     0.933362
      1.20300     0.932609
      1.20400     0.931855
      1.20500     0.931102
      1.20600     0.930713
      1.20700     0.930583
      1.20800     0.930452
      1.20900     0.930322
      1.21000     0.930191
      1.21100     0.930480
      1.21200     0.930994
      1.21300     0.931507
      1.21400     0.932021
      1.21500     0.932534
      1.21600     0.933451
      1.21700     0.934526
      1.21800     0.935601
      1.21900     0.936677
      1.22000     0.937752
      1.22100     0.939132
      1.22200     0.940597
      1.22300     0.942062
      1.22400     0.943527
      1.22500     0.944992
      1.22600     0.946589
      1.22700     0.948209
      1.22800     0.949829
      1.22900     0.951449
      1.23000     0.953070
      1.23100     0.954595
      1.23200     0.956111
      1.23300     0.957627
      1.23400     0.959143
      1.23500     0.960659
      1.23600     0.961836
      1.23700     0.963005
      1.23800     0.964174
      1.23900     0.965344
      1.24000     0.966489
      1.24100     0.967124
      1.24200     0.967760
      1.24300     0.968395
      1.24400     0.969031
      1.24500     0.969596
      1.24600     0.969596
      1.24700     0.969596
      1.24800     0.969596
      1.24900     0.969596
      1.25000     0.969483
      1.25100     0.968848
      1.25200     0.968212
      1.25300     0.967577
      1.25400     0.966941
      1.25500     0.966176
      1.25600     0.965006
      1.25700     0.963837
      1.25800     0.962667
      1.25900     0.961498
      1.26000     0.960222
      1.26100     0.958705
      1.26200     0.957189
      1.26300     0.955673
      1.26400     0.954157
      1.26500     0.952602
      1.26600     0.950982
      1.26700     0.949362
      1.26800     0.947741
      1.26900     0.946121
      1.27000     0.944569
      1.27100     0.943104
      1.27200     0.941639
      1.27300     0.940174
      1.27400     0.938709
      1.27500     0.937441
      1.27600     0.936366
      1.27700     0.935291
      1.27800     0.934216
      1.27900     0.933140
      1.28000     0.932386
      1.28100     0.931873
      1.28200     0.931359
      1.28300     0.930846
      1.28400     0.930332
      1.28500     0.930229
      1.28600     0.930359
      1.28700     0.930490
      1.28800     0.930620
      1.28900     0.930751
      1.29000     0.931319
      1.29100     0.932073
      1.29200     0.932826
      1.29300     0.933580
      1.29400     0.934333
      1.29500     0.935473
      1.29600     0.936729
      1.29700     0.937985
      1.29800     0.939241
      1.29900     0.940497
      1.30000     0.942004
      1.30100     0.943562
      1.30200     0.945119
      1.30300     0.946677
      1.30400     0.948234
      1.30500     0.949839
      1.30600     0.951449
      1.30700     0.953058
      1.30800     0.954668
      1.30900     0.956278
      1.31000     0.957689
      1.31100     0.959093
      1.31200     0.960497
      1.31300     0.961902
      1.31400     0.963293
      1.31500     0.964267
      1.31600     0.965241
      1.31700     0.966215
      1.31800     0.967189
      1.31900     0.968107
      1.32000     0.968495
      1.32100     0.968883
      1.32200     0.969271
      1.32300     0.969659
      1.32400     0.969941
      1.32500     0.969681
      1.32600     0.969421
      1.32700     0.969161
      1.32800     0.968901
      1.32900     0.968503
      1.33000     0.967636
      1.33100     0.966769
      1.33200     0.965903
      1.33300     0.965036
      1.33400     0.964032
      1.33500     0.962697
      1.33600     0.961363
      1.33700     0.960029
      1.33800     0.958694
      1.33900     0.956510
      1.34000     0.952812
      1.34100     0.949114
      1.34200     0.945416
      1.34300     0.941719
      1.34400     0.878491
      1.34500     0.600960
      1.34600     0.311503
      1.34700     0.181610
      1.34800     0.116222
      1.34900    0.0814876
      1.35000    0.0573577
      1.35100    0.0475817
      1.35200    0.0378673
      1.35300    0.0281528
      1.35400    0.0184384
      1.35500    0.0119545
      1.35600    0.0102257
      1.35700   0.00849696
      1.35800   0.00676820
      1.35900   0.00503943
      1.36000   0.00331066
      1.36100   0.00259104
      1.36200   0.00236535
      1.36300   0.00213966
      1.36400   0.00191397
      1.36500   0.00168828
      1.36600   0.00146259
      1.36700   0.00123690
      1.36800   0.00101120
      1.36900  0.000785514
      1.37000  0.000571874
      1.37100  0.000524378
      1.37200  0.000476882
