# Ks from Ric - Feb 2018 
# Wavelength(micron)  Throughput
     0.780000  0.000100000
      1.89400  0.000100000
      1.89500  0.000100000
      1.89600  0.000100196
      1.89700  0.000100454
      1.89800  0.000100712
      1.89900  0.000100969
      1.90000  0.000101227
      1.90100  0.000101485
      1.90200  0.000101742
      1.90300  0.000102000
      1.90400  0.000102258
      1.90500  0.000102516
      1.90600  0.000102773
      1.90700  0.000103031
      1.90800  0.000103289
      1.90900  0.000103546
      1.91000  0.000103804
      1.91100  0.000104062
      1.91200  0.000104319
      1.91300  0.000104577
      1.91400  0.000104835
      1.91500  0.000105092
      1.91600  0.000105350
      1.91700  0.000105608
      1.91800  0.000105866
      1.91900  0.000106123
      1.92000  0.000112065
      1.92100  0.000122155
      1.92200  0.000132245
      1.92300  0.000142335
      1.92400  0.000159278
      1.92500  0.000189802
      1.92600  0.000220327
      1.92700  0.000250852
      1.92800  0.000281377
      1.92900  0.000311901
      1.93000  0.000342426
      1.93100  0.000372951
      1.93200  0.000403475
      1.93300  0.000434000
      1.93400  0.000464525
      1.93500  0.000495050
      1.93600  0.000529470
      1.93700  0.000702454
      1.93800  0.000875439
      1.93900   0.00104842
      1.94000   0.00122141
      1.94100   0.00139439
      1.94200   0.00156738
      1.94300   0.00174036
      1.94400   0.00191335
      1.94500   0.00208633
      1.94600   0.00225931
      1.94700   0.00243230
      1.94800   0.00273684
      1.94900   0.00377545
      1.95000   0.00481406
      1.95100   0.00585267
      1.95200   0.00689128
      1.95300   0.00792989
      1.95400   0.00896850
      1.95500    0.0100071
      1.95600    0.0110457
      1.95700    0.0147244
      1.95800    0.0214786
      1.95900    0.0282328
      1.96000    0.0349870
      1.96100    0.0417412
      1.96200    0.0484954
      1.96300    0.0556095
      1.96400    0.0735057
      1.96500     0.101068
      1.96600     0.128631
      1.96700     0.187416
      1.96800     0.279336
      1.96900     0.402423
      1.97000     0.580067
      1.97100     0.833265
      1.97200     0.937971
      1.97300     0.940226
      1.97400     0.942482
      1.97500     0.944738
      1.97600     0.946993
      1.97700     0.949249
      1.97800     0.951504
      1.97900     0.953760
      1.98000     0.956015
      1.98100     0.957982
      1.98200     0.958725
      1.98300     0.959468
      1.98400     0.960211
      1.98500     0.960954
      1.98600     0.961697
      1.98700     0.962440
      1.98800     0.963183
      1.98900     0.963926
      1.99000     0.964583
      1.99100     0.965066
      1.99200     0.965548
      1.99300     0.966031
      1.99400     0.966514
      1.99500     0.966996
      1.99600     0.967479
      1.99700     0.967961
      1.99800     0.968444
      1.99900     0.968768
      2.00000     0.968913
      2.00100     0.969058
      2.00200     0.969203
      2.00300     0.969348
      2.00400     0.969492
      2.00500     0.969637
      2.00600     0.969782
      2.00700     0.969927
      2.00800     0.969853
      2.00900     0.969636
      2.01000     0.969420
      2.01100     0.969204
      2.01200     0.968988
      2.01300     0.968772
      2.01400     0.968556
      2.01500     0.968340
      2.01600     0.968124
      2.01700     0.967664
      2.01800     0.967122
      2.01900     0.966580
      2.02000     0.966037
      2.02100     0.965495
      2.02200     0.964952
      2.02300     0.964410
      2.02400     0.963867
      2.02500     0.963325
      2.02600     0.962571
      2.02700     0.961789
      2.02800     0.961007
      2.02900     0.960225
      2.03000     0.959443
      2.03100     0.958661
      2.03200     0.957879
      2.03300     0.957097
      2.03400     0.956313
      2.03500     0.955416
      2.03600     0.954520
      2.03700     0.953624
      2.03800     0.952727
      2.03900     0.951831
      2.04000     0.950935
      2.04100     0.950038
      2.04200     0.949142
      2.04300     0.948250
      2.04400     0.947383
      2.04500     0.946516
      2.04600     0.945649
      2.04700     0.944781
      2.04800     0.943914
      2.04900     0.943047
