# Y from Ric - Feb 2018 
# Wavelength(micron)  Throughput
     0.780000  0.000100000
     0.923000  0.000100000
     0.924000  0.000100228
     0.925000  0.000100757
     0.926000  0.000101286
     0.927000  0.000101815
     0.928000  0.000102344
     0.929000  0.000102873
     0.930000  0.000103401
     0.931000  0.000103930
     0.932000  0.000104459
     0.933000  0.000104988
     0.934000  0.000105517
     0.935000  0.000106045
     0.936000  0.000119634
     0.937000  0.000140340
     0.938000  0.000185355
     0.939000  0.000247994
     0.940000  0.000310633
     0.941000  0.000373272
     0.942000  0.000435912
     0.943000  0.000498551
     0.944000  0.000731307
     0.945000   0.00108629
     0.946000   0.00144127
     0.947000   0.00179625
     0.948000   0.00215123
     0.949000   0.00250622
     0.950000   0.00427331
     0.951000   0.00640457
     0.952000   0.00853582
     0.953000    0.0106671
     0.954000    0.0193679
     0.955000    0.0332281
     0.956000    0.0470882
     0.957000    0.0692012
     0.958000     0.125766
     0.959000     0.273933
     0.960000     0.580086
     0.961000     0.938113
     0.962000     0.943212
     0.963000     0.948311
     0.964000     0.953410
     0.965000     0.958060
     0.966000     0.959740
     0.967000     0.961420
     0.968000     0.963100
     0.969000     0.964655
     0.970000     0.965746
     0.971000     0.966837
     0.972000     0.967928
     0.973000     0.968796
     0.974000     0.969123
     0.975000     0.969451
     0.976000     0.969778
     0.977000     0.969802
     0.978000     0.969313
     0.979000     0.968825
     0.980000     0.968336
     0.981000     0.967514
     0.982000     0.966288
     0.983000     0.965062
     0.984000     0.963835
     0.985000     0.962321
     0.986000     0.960553
     0.987000     0.958785
     0.988000     0.957017
     0.989000     0.955091
     0.990000     0.953065
     0.991000     0.951038
     0.992000     0.949012
     0.993000     0.947031
     0.994000     0.945071
     0.995000     0.943110
     0.996000     0.941149
     0.997000     0.939482
     0.998000     0.937901
     0.999000     0.936320
      1.00000     0.934739
      1.00100     0.933698
      1.00200     0.932749
      1.00300     0.931801
      1.00400     0.930852
      1.00500     0.930636
      1.00600     0.930472
      1.00700     0.930308
      1.00800     0.930155
      1.00900     0.930802
      1.01000     0.931448
      1.01100     0.932094
      1.01200     0.932808
      1.01300     0.934161
      1.01400     0.935515
      1.01500     0.936868
      1.01600     0.938308
      1.01700     0.940152
      1.01800     0.941996
      1.01900     0.943840
      1.02000     0.945734
      1.02100     0.947774
      1.02200     0.949813
      1.02300     0.951853
      1.02400     0.953848
      1.02500     0.955757
      1.02600     0.957666
      1.02700     0.959574
      1.02800     0.961301
      1.02900     0.962773
      1.03000     0.964245
      1.03100     0.965718
      1.03200     0.966856
      1.03300     0.967657
      1.03400     0.968457
      1.03500     0.969257
      1.03600     0.969596
      1.03700     0.969596
      1.03800     0.969596
      1.03900     0.969596
      1.04000     0.969071
      1.04100     0.968270
      1.04200     0.967470
      1.04300     0.966670
      1.04400     0.965375
      1.04500     0.963903
      1.04600     0.962431
      1.04700     0.960959
      1.04800     0.959130
      1.04900     0.957221
      1.05000     0.955313
      1.05100     0.953404
      1.05200     0.951378
      1.05300     0.949339
      1.05400     0.947299
      1.05500     0.945260
      1.05600     0.943411
      1.05700     0.941567
      1.05800     0.939723
      1.05900     0.937907
      1.06000     0.936553
      1.06100     0.935200
      1.06200     0.933846
      1.06300     0.932590
      1.06400     0.931944
      1.06500     0.931297
      1.06600     0.930651
      1.06700     0.930182
      1.06800     0.930346
      1.06900     0.930510
      1.07000     0.930674
      1.07100     0.931073
      1.07200     0.932021
      1.07300     0.932970
      1.07400     0.933919
      1.07500     0.935107
      1.07600     0.936688
      1.07700     0.938269
      1.07800     0.939850
      1.07900     0.941606
      1.08000     0.943566
      1.08100     0.945527
      1.08200     0.947488
      1.08300     0.949484
      1.08400     0.951510
      1.08500     0.953536
      1.08600     0.955563
      1.08700     0.957429
      1.08800     0.959196
      1.08900     0.960964
      1.09000     0.962732
      1.09100     0.964121
      1.09200     0.965347
      1.09300     0.966573
      1.09400     0.967799
      1.09500     0.968450
      1.09600     0.968939
      1.09700     0.969427
      1.09800     0.969916
      1.09900     0.969702
      1.10000     0.969375
      1.10100     0.969047
      1.10200     0.968720
      1.10300     0.967674
      1.10400     0.966583
      1.10500     0.965492
      1.10600     0.964389
      1.10700     0.962709
      1.10800     0.961029
      1.10900     0.959349
      1.11000     0.957368
      1.11100     0.952713
      1.11200     0.948058
      1.11300     0.943403
      1.11400     0.910376
      1.11500     0.600935
      1.11600     0.283814
      1.11700     0.141305
      1.11800    0.0906870
      1.11900    0.0615789
      1.12000    0.0472774
      1.12100    0.0355593
      1.12200    0.0238412
      1.12300    0.0125594
      1.12400    0.0104740
      1.12500   0.00838860
      1.12600   0.00630319
      1.12700   0.00421778
      1.12800   0.00266290
      1.12900   0.00239066
      1.13000   0.00211841
      1.13100   0.00184616
      1.13200   0.00157391
      1.13300   0.00130167
      1.13400   0.00102942
      1.13500  0.000757172
      1.13600  0.000556112
      1.13700  0.000498818
      1.13800  0.000441525
      1.13900  0.000384232
      1.14000  0.000326939
      1.14100  0.000269645
      1.14200  0.000235168
      1.14300  0.000213599
      1.14400  0.000192029
      1.14500  0.000170460
      1.14600  0.000148891
      1.14700  0.000137642
      1.14800  0.000135534
      1.14900  0.000133427
      1.15000  0.000131320
      1.15100  0.000129213
      1.15200  0.000127105
      1.15300  0.000124998
      1.15400  0.000122891
      1.15500  0.000120784
      1.15600  0.000118676
      1.15700  0.000116569
      1.15800  0.000114462
      1.15900  0.000112355
      1.16000  0.000110247
      1.16100  0.000108140
      1.16200  0.000106033
      1.16300  0.000103926
      1.16400  0.000101818
      1.16500  0.000100000
      1.16600  0.000100000
      2.50000  0.000100000
