#Wavelength	Flux
#um	ph/s/m2
0.30	8813933721.9
0.30	9161325947.3
0.30	10601125803.8
0.30	11520325879.6
0.30	11641070772.2
0.30	11668591622.9
0.30	11535945895.4
0.30	11218765052.9
0.30	11418612546.3
0.30	12003825091.2
0.30	12183508664.9
0.30	12032593989.8
0.30	11516499556.6
0.30	10655397880.1
0.30	10780235841.9
0.30	11398201466.0
0.30	11417604340.2
0.30	11739431183.3
0.30	11943586566.0
0.30	11390578832.5
0.30	11340964739.3
0.30	11920775624.9
0.30	12157525927.9
0.30	12349640236.5
0.30	12452427482.0
0.30	12341952884.8
0.30	12371627031.7
0.30	12051861404.3
0.30	11205776553.6
0.30	10767967880.5
0.30	9689904026.1
0.30	7942938249.4
0.30	7968127085.6
0.30	9416341801.6
0.30	11188105306.9
0.30	12057440539.6
0.30	11499432540.3
0.30	10955550398.2
0.30	11572923297.9
0.30	12210754956.0
0.30	12114328057.1
0.30	12076886889.6
0.30	12318189900.3
0.30	12295000940.6
0.30	12031665149.0
0.30	11984021582.3
0.30	12038141873.4
0.30	12049525470.5
0.30	12262467985.8
0.30	12235189871.7
0.30	11706961373.2
0.30	11585940188.9
0.30	11896686753.1
0.30	12075088315.9
0.30	11689237911.1
0.30	10800075716.6
0.30	10344741646.3
0.30	11012128276.0
0.30	12121888475.2
0.30	12551119906.7
0.30	12403572885.9
0.30	12296766468.6
0.30	12236834245.6
0.30	11852684723.8
0.30	11464383435.1
0.30	11277906036.9
0.30	11507468101.3
0.30	12159319728.3
0.30	12554261917.6
0.30	12025056584.7
0.30	10593883253.6
0.30	9923576927.0
0.30	10189874650.6
0.30	10686865995.8
0.30	11682017740.5
0.30	12340534111.5
0.30	12537767768.7
0.30	12655403206.2
0.30	12691385229.3
0.30	12717161505.5
0.30	12493761593.6
0.30	11577852428.7
0.30	10827234098.8
0.30	11042837338.2
0.30	10825313283.7
0.30	10709917703.6
0.30	11716484309.8
0.30	12498422584.9
0.30	12683641444.9
0.30	12758505169.5
0.30	12772047753.7
0.30	12689494074.7
0.30	12506720319.5
0.30	12379125842.6
0.30	12509221592.0
0.30	12449104475.2
0.30	11914368571.1
0.30	11645495052.9
0.30	11978134768.7
0.30	12091881865.9
0.30	11775876822.9
0.30	11396358177.2
0.30	11686116538.9
0.30	11644295253.2
0.30	10232772435.7
0.30	9703474378.1
0.30	10255296879.2
0.30	9629638855.8
0.30	9309036236.4
0.30	10061728230.8
0.30	11103424712.4
0.30	12106403294.4
0.30	12425209630.7
0.30	11750210180.9
0.30	11083274895.7
0.30	11684923334.4
0.30	12477326238.3
0.30	12611827526.1
0.30	12223540631.6
0.30	11318466249.8
0.30	11026356705.5
0.30	11931885533.5
0.30	12650951036.0
0.30	12746576599.7
0.30	12620656074.7
0.30	12490610909.9
0.30	12489811122.2
0.30	12378193442.5
0.30	12044906416.7
0.30	11592512038.6
0.30	11378133619.5
0.30	11319738650.2
0.30	11045752872.0
0.30	11535547171.8
0.30	12163028515.2
0.30	12143708076.6
0.30	11974444260.6
0.30	11788714731.1
0.30	11568024239.3
0.30	11226073019.0
0.30	10485424749.6
0.30	10246045209.3
0.30	10999262260.9
0.30	10969529956.2
0.30	9579001632.5
0.30	9224307323.2
0.30	10664422795.6
0.30	12069870355.3
0.30	12408329183.8
0.30	12452759311.6
0.30	12672025200.7
0.30	12728832910.6
0.30	12154082753.4
0.30	10927010858.7
0.30	10699708009.4
0.30	11649441355.2
0.30	12158943437.3
0.30	12228083259.6
0.30	11934947064.8
0.30	11763212583.7
0.30	11787035622.1
0.30	10785444086.6
0.30	9752762159.3
0.30	10694925043.9
0.30	12228409858.6
0.30	12791982603.5
0.30	12782962704.2
0.30	12705948197.7
0.30	12738127235.4
0.30	12815647947.2
0.30	12827233126.6
0.30	12787295181.3
0.30	12718485420.5
0.30	12707389336.5
0.30	12807624573.4
0.30	12879012691.9
0.30	12826681961.5
0.30	12638228557.4
0.30	12350731235.3
0.30	11856894466.3
0.30	10979248068.8
0.30	10619287451.9
0.30	11121754860.5
0.30	11209539179.9
0.30	10519281871.4
0.30	10066247992.4
0.30	10418174083.9
0.30	11383306432.5
0.30	12346570855.6
0.30	12764902890.6
0.30	12776505436.7
0.30	12596041767.5
0.30	12372162788.7
0.30	12334151575.8
0.30	12440747647.7
0.30	12532899566.5
0.30	12653995266.4
0.30	12770987632.2
0.30	12790866025.1
0.30	12451102955.3
0.30	11608962167.3
0.30	10692228872.0
0.30	10164009125.6
0.30	9978928638.6
0.30	10312866533.4
0.30	10777165243.1
0.30	10339748409.8
0.30	10849651994.2
0.30	12183029803.2
0.30	12699427066.1
0.30	12673794059.4
0.30	12488814010.6
0.30	12278966816.2
0.30	12013187754.5
0.30	11505164382.0
0.30	11508384486.1
0.30	11902920245.7
0.30	11730175864.0
0.30	11352381721.9
0.30	11477783075.3
0.30	11793763910.4
0.30	11304001769.5
0.30	10522040721.7
0.30	10761359899.2
0.30	11792263345.9
0.30	12516672525.3
0.30	12571811188.2
0.30	12415544652.8
0.30	12375325046.9
0.30	12567291895.9
0.30	12583062926.2
0.30	11912495446.2
0.30	11393171565.5
0.30	11985388426.5
0.30	12583946657.3
0.30	12520900637.4
0.30	12335441705.4
0.30	12282729977.9
0.30	11727859566.9
0.30	9736841674.0
0.30	7415431848.5
0.30	7733743224.4
0.30	9735610481.3
0.30	10025154738.3
0.30	8913290871.8
0.30	8459441153.9
0.30	9774807180.2
0.30	11568115499.2
0.30	12323248295.2
0.30	12515593097.3
0.30	12358954436.4
0.30	11950884120.3
0.30	11804549506.6
0.30	11971978580.0
0.30	12156067961.6
0.30	12369291810.5
0.30	12254120438.1
0.30	11978846978.8
0.30	11878167602.8
0.30	11702609443.3
0.30	11714176957.4
0.30	11507373930.7
0.30	11265167870.5
0.30	11954831442.1
0.30	12627997542.9
0.30	12708322568.5
0.30	12667980968.5
0.30	12652593262.6
0.30	12143959288.8
0.30	11008712409.4
0.30	10795402713.8
0.30	11708335080.4
0.30	12109261255.3
0.30	12197925714.4
0.30	12455293378.7
0.30	12558589743.5
0.30	12524435250.3
0.30	12381952843.0
0.30	12399858783.4
0.30	12717793701.8
0.30	12908682249.1
0.30	12855791806.1
0.30	12388147182.2
0.30	11776585967.5
0.30	12027909862.4
0.30	12631608706.3
0.30	12643301678.0
0.30	12344297470.0
0.30	12339274401.3
0.30	12503186523.1
0.30	12208252539.4
0.30	11370892476.8
0.30	11205133169.4
0.30	11911466408.8
0.30	12227741938.1
0.30	12224791588.8
0.30	12392980566.8
0.30	12227234058.2
0.30	12000925992.2
0.30	12238032280.2
0.30	12648485857.0
0.30	12798007395.7
0.30	12749163403.0
0.30	12382858460.5
0.30	11308401718.9
0.30	10674494587.8
0.30	11049516779.9
0.30	11621018615.5
0.30	12345173489.0
0.30	12659875407.3
0.30	12669500771.9
0.30	12733472482.1
0.30	12770281340.5
0.30	12723476233.3
0.30	12498939208.3
0.30	12272264495.6
0.30	12449156860.0
0.30	12592621510.9
0.30	12514398369.7
0.30	12555398278.4
0.30	12770043122.4
0.30	12905226955.4
0.30	12659602383.1
0.30	11850990671.2
0.30	11481730855.2
0.30	12215472712.2
0.30	12794454554.5
0.30	12871100399.4
0.30	12784453088.0
0.30	12695687498.5
0.30	12778629840.8
0.30	12886722996.4
0.30	12774903166.0
0.30	12283902242.4
0.30	11771852582.5
0.30	11959503169.8
0.30	12262443775.4
0.30	11930462043.8
0.30	11516679354.8
0.30	11754685148.4
0.30	11986449087.5
0.30	11100840248.4
0.30	10493909437.0
0.30	11365172330.8
0.30	12148528023.7
0.30	12195884671.1
0.30	12129982936.0
0.30	11661303573.6
0.30	11026792953.4
0.30	11136998762.4
0.30	11683687280.7
0.30	12354298807.8
0.30	12712328969.1
0.30	12682116287.6
0.30	12677084630.6
0.30	12714044060.7
0.30	12316386718.5
0.30	11156411508.3
0.30	9620296131.1
0.30	8636238100.1
0.30	9573908853.1
0.30	11337332061.1
0.30	12124197193.8
0.30	12518314100.8
0.30	12586808502.1
0.30	12033263935.0
0.30	11504834977.2
0.30	11377768382.2
0.30	11452480928.6
0.30	11655451043.1
0.30	11555692766.3
0.30	11861751343.3
0.30	12418126406.8
0.30	12642307106.1
0.30	12698260084.8
0.30	12672183194.3
0.30	12669239779.1
0.30	12742046383.0
0.30	12812758598.7
0.30	12854027282.6
0.30	12809010217.6
0.30	12822917968.8
0.30	12925246420.5
0.30	12972856031.3
0.30	12950991772.9
0.30	12912279652.7
0.30	12928313271.6
0.30	12914859075.9
0.30	12686558593.5
0.30	12190679389.0
0.30	11915912224.8
0.30	12325858794.2
0.30	12830713426.1
0.30	12907860067.8
0.30	12540316992.1
0.30	11780645786.2
0.30	11261138981.0
0.30	11643857978.2
0.30	12260694362.7
0.30	12449592460.6
0.30	12552062013.6
0.30	12637682210.3
0.30	12451218076.4
0.30	12408164219.1
0.30	12388307135.0
0.30	11975995852.2
0.30	12065821907.1
0.30	12660039152.4
0.30	12870251981.3
0.30	12673125136.4
0.30	12541401541.9
0.30	12669325104.5
0.30	12632588723.5
0.30	12530380523.6
0.30	12561200984.8
0.30	12674396895.5
0.30	12635530286.4
0.30	12100225429.2
0.30	11735941240.0
0.30	12248435764.5
0.30	12534928755.9
0.30	12007855006.8
0.30	11884357823.7
0.30	12439346191.8
0.30	12751338843.1
0.30	12858322373.1
0.30	12939954753.5
0.30	12907416743.1
0.30	12625325090.4
0.30	12421433105.7
0.30	12608815586.0
0.30	12770842787.3
0.30	12706536560.9
0.30	12597782828.2
0.30	12706963238.1
0.30	12900816955.6
0.30	12957136426.7
0.30	12966895845.0
0.30	12896216896.1
0.30	12383046670.8
0.30	11571228673.9
0.30	11580856087.7
0.30	12234283586.4
0.30	12390122377.5
0.30	11802506811.8
0.30	11447794051.1
0.30	12033673855.4
0.30	12361174009.0
0.30	12029725124.6
0.30	11751188068.4
0.30	12188970932.0
0.30	12751902521.7
0.30	12708656601.1
0.30	12360112755.3
0.30	12293501178.0
0.30	12044510356.8
0.30	11683071837.0
0.30	11934509122.1
0.30	11685408949.3
0.30	11143506628.5
0.30	11621976329.3
0.30	12480336852.8
0.30	12791399464.2
0.30	12782069135.6
0.30	12810937435.4
0.30	12863161230.2
0.30	12828361315.0
0.30	12366811979.7
0.30	11771412589.4
0.30	11874517455.4
0.30	12436360346.3
0.30	12826281242.1
0.30	12819064312.0
0.30	12295638019.2
0.30	11583019553.2
0.30	11766905199.1
0.30	12341824743.9
0.30	11799012290.2
0.30	10595093879.1
0.30	10598279392.7
0.30	11600600483.2
0.30	11644280537.1
0.30	11345645296.5
0.30	11544542258.9
0.30	11401081395.0
0.30	11534088191.6
0.30	12201023255.7
0.30	12744704937.0
0.30	12965117199.1
0.30	13021733927.7
0.30	12967709938.5
0.30	12666809979.3
0.30	12414796557.8
0.30	12643796751.3
0.30	12932449906.1
0.30	13014645733.0
0.30	12992527503.3
0.30	12904389795.4
0.30	12714012270.0
0.30	12276531711.3
0.30	11775062332.9
0.30	11571728077.1
0.30	11762502269.5
0.30	12153597272.5
0.30	12587393011.7
0.30	12901930749.7
0.30	12937322850.0
0.30	12800063299.0
0.30	12730996032.6
0.30	12755720171.6
0.30	12614140378.4
0.30	12205973937.6
0.30	11603658943.1
0.30	11272094804.9
0.30	11731831416.0
0.30	12518049444.1
0.30	12628108993.8
0.30	11844172139.9
0.30	10780532568.2
0.30	10423077072.8
0.30	11194617523.0
0.30	12363337614.8
0.30	12940959185.8
0.30	12967872696.8
0.30	12858138767.7
0.30	12844479177.7
0.30	12824407576.2
0.30	12249015224.0
0.30	11389410521.3
